State,Utility Name,EIA_table,electric ID,gas ID,EIA_Name,EIA_state,notes
Kentucky,Louisville Gas and Electric,electric,11249,#N/A,LOUISVILLE GAS & ELECTRIC CO,KY,
Maine,Central Maine Power,electric,3266,#N/A,CENTRAL MAINE POWER CO,ME,
Maine,"Eastern Maine Electric Cooperative, Inc",electric,5609,#N/A,EASTERN MAINE ELECTRIC COOP,ME,
Maine,Fox Islands Electric Cooperative,electric,8780,#N/A,"FOX ISLANDS ELECTRIC COOP, INC",ME,
Maine,Houlton Water Company,electric,8883,#N/A,HOULTON WATER COMPANY,ME,
Maine,Kennebunk Light & Power District,electric,10144,#N/A,KENNEBUNK LIGHT & POWER DIST,ME,
Maine,"Town of Madison, Dept of Electric Works",electric,11477,#N/A,TOWN OF MADISON - (ME),ME,
Maine,Van Buren Light & Power,electric,19702,#N/A,VAN BUREN LIGHT & POWER DIST,ME,
Maine,Versant Power,electric,1179,#N/A,VERSANT POWER,ME,
Maryland,A&N Electric Cooperatve,electric,84,#N/A,A & N ELECTRIC COOP,VA,
Maryland,Artesan Water Maryland,,#N/A,#N/A,,,
Maryland,Baltimore Gas & Electric Company,electric,1167,#N/A,BALTIMORE GAS & ELECTRIC CO,MD,
Maryland,Baltimore Gas and Electric Company,,#N/A,#N/A,,,close duplicate: Baltimore Gas & Electric Company
Maryland,Chesapeake Elkton Gas,gas,#N/A,LDC240002MD,ELKTON GAS COMPANY,MD,
Maryland,Chesapeake-Maryland Utilities,,#N/A,#N/A,,,
Maryland,Choptank Electric Coop,,#N/A,#N/A,,,close duplicate: Choptank Electric Coop
Maryland,Choptank Electric Cooperative,electric,3503,#N/A,"CHOPTANK ELECTRIC COOPERATIVE, INC",MD,
Maryland,Columbia Gas Of Maryland,gas,#N/A,LDC240003MD,COLUMBIA GAS OF WASHINGTON/MARYLAND,MD,
Maryland,Delmarva Power,gas,5027,LDC100001DE,DELMARVA POWER,DE,
Maryland,Delmarva Power & Light Company,,#N/A,#N/A,,,close duplicate: Demarva Power
Maryland,Maryland American Water Company,,#N/A,#N/A,,,
Maryland,Pepco Holdings Inc,,#N/A,#N/A,,,possible match: electric DC POTOMAC ELECTRIC POWER CO
Maryland,Potomac Edison,electric,15263,#N/A,THE POTOMAC EDISON COMPANY,PA,
Maryland,Potomac Electric Power Company,electric ,15270,#N/A,POTOMAC ELECTRIC POWER CO,DC,
Maryland,Sandpiper Energy,,#N/A,#N/A,,,
Maryland,Southern Maryland Electric Cooperative,electric,17637,#N/A,SOUTHERN MARYLAND ELEC COOP INC,MD,
Maryland,UGI Central Penn Gas,gas,#N/A,LDC420018PA,UGI CENTRAL PENN GAS,PA,multiple
Maryland,UGI utilities,electric,19390,#N/A,"UGI UTILITIES, INC",PA,
Maryland,Washington Gas Light Company,gas,#N/A,LDC510008VA,WASHINGTON GAS,VA,multiple.  close duplicate: Washington Gas Light Company in WA
Massachusetts,Berkshire Gas Company,gas,#N/A,LDC250001MA,BERKSHIRE GAS CO,MA,
Massachusetts,Blackstone Gas Company,gas,#N/A,LDC250011MA,BLACKSTONE GAS CO,MA,
Massachusetts,Boston Gas Company,,#N/A,#N/A,,,"possible match:  gas MA NEW BOSTON GAS DEPT, CITY OF"
Massachusetts,Colonial Gas Co,,#N/A,#N/A,,,
Massachusetts,Colonial Gas Company,,#N/A,#N/A,,,
Massachusetts,Columbia Gas of Massachusetts,gas,#N/A,LDC250010MA,COLUMBIA GAS OF MASSACHUSETTS,MA,
Massachusetts,Eversource Energy - Electric,,#N/A,#N/A,,,possible match: electric MA WESTERN MASSACHUSETTS ELECTRIC COMPANY
Massachusetts,Eversource Energy - Gas,,#N/A,#N/A,,,possible match:  gas MA  NSTAR GAS COMPANY
Massachusetts,Eversource Gas of Massachusetts,,#N/A,#N/A,,,possible match:  gas MA  NSTAR GAS COMPANY
Massachusetts,Eversource West,,#N/A,#N/A,,,possible match: multiple for in electric with Eversource as holding company
Massachusetts,Fitchburg Gas & Electric Light Company,electric,6374,#N/A,FITCHBURG GAS & ELEC LIGHT CO,NH,also in gas
Massachusetts,Liberty Utilities,electric,26510,#N/A,LIBERTY UTILITIES (GRANITE STATE ELECTRI,NH,
Massachusetts,Massachusetts Electric Company,electric,11804,#N/A,MASSACHUSETTS ELECTRIC CO,NY,
