State,Year,Month,Number of Disconnections,Disconnection Rate,code
Alabama,2010,April,1422,0.057051153,AL
Alabama,2010,August,1673,0.069436374,AL
Alabama,2010,December,479,0.02012605,AL
Alabama,2010,February,584,0.023424652,AL
Alabama,2010,January,779,0.03154357,AL
Alabama,2010,July,1036,0.041355635,AL
Alabama,2010,June,712,0.02844132,AL
Alabama,2010,March,1556,0.062235021,AL
Alabama,2010,May,993,0.039823541,AL
Alabama,2010,November,954,0.03828865,AL
Alabama,2010,October,1519,0.060665362,AL
Alabama,2010,September,1437,0.057017022,AL
Alabama,2011,April,1355,0.054109097,AL
Alabama,2011,August,1568,0.062760167,AL
Alabama,2011,December,870,0.034915921,AL
Alabama,2011,February,1492,0.060275522,AL
Alabama,2011,January,828,0.03150565,AL
Alabama,2011,July,1003,0.040003191,AL
Alabama,2011,June,584,0.023027483,AL
Alabama,2011,March,1592,0.062959741,AL
Alabama,2011,May,874,0.034851264,AL
Alabama,2011,November,1059,0.042140867,AL
Alabama,2011,October,1576,0.063186593,AL
Alabama,2011,September,1546,0.060930911,AL
Alabama,2012,April,1027,0.041061933,AL
Alabama,2012,August,1707,0.066951679,AL
Alabama,2012,December,824,0.0330287,AL
Alabama,2012,February,1180,0.047317347,AL
Alabama,2012,January,1080,0.042981653,AL
Alabama,2012,July,1204,0.047779674,AL
Alabama,2012,June,947,0.037594283,AL
Alabama,2012,March,952,0.037735849,AL
Alabama,2012,May,1027,0.040511222,AL
Alabama,2012,November,988,0.039273363,AL
Alabama,2012,October,1467,0.058216596,AL
Alabama,2012,September,1361,0.054022943,AL
Alabama,2013,April,1172,0.046605957,AL
Alabama,2013,August,1285,0.050524909,AL
Alabama,2013,December,931,0.036689655,AL
Alabama,2013,February,1318,0.05278334,AL
Alabama,2013,January,1170,0.046239576,AL
Alabama,2013,July,1248,0.049223002,AL
Alabama,2013,June,973,0.038641779,AL
Alabama,2013,March,998,0.039710329,AL
Alabama,2013,May,1068,0.042185093,AL
Alabama,2013,November,1131,0.044751316,AL
Alabama,2013,October,1454,0.057495354,AL
Alabama,2013,September,1502,0.059171131,AL
Alabama,2014,April,1438,0.056308247,AL
Alabama,2014,August,1462,0.057525084,AL
Alabama,2014,December,643,0.025220631,AL
Alabama,2014,February,1772,0.070180997,AL
Alabama,2014,January,254,0.010026448,AL
Alabama,2014,July,885,0.034610872,AL
Alabama,2014,June,1040,0.040870864,AL
Alabama,2014,March,1240,0.048075059,AL
Alabama,2014,May,998,0.039573338,AL
Alabama,2014,November,858,0.034553582,AL
Alabama,2014,October,1326,0.052529414,AL
Alabama,2014,September,1427,0.056296355,AL
Alabama,2015,April,1159,0.045913719,AL
Alabama,2015,August,1247,0.048750928,AL
Alabama,2015,December,871,0.03434678,AL
Alabama,2015,February,930,0.036907691,AL
Alabama,2015,January,1167,0.046181243,AL
Alabama,2015,July,965,0.038002599,AL
Alabama,2015,June,834,0.032837231,AL
Alabama,2015,March,1152,0.045510212,AL
Alabama,2015,May,705,0.027949572,AL
Alabama,2015,November,895,0.035402081,AL
Alabama,2015,October,1359,0.053512364,AL
Alabama,2015,September,1630,0.063704225,AL
Alabama,2016,April,1074,0.042069803,AL
Alabama,2016,August,1064,0.041525192,AL
Alabama,2016,December,1357,0.052894173,AL
Alabama,2016,February,924,0.036347901,AL
Alabama,2016,January,774,0.030524116,AL
Alabama,2016,July,1081,0.042182074,AL
Alabama,2016,June,886,0.034543257,AL
Alabama,2016,March,1310,0.051245941,AL
Alabama,2016,May,596,0.023380801,AL
Alabama,2016,November,1984,0.078171789,AL
Alabama,2016,October,2043,0.080083101,AL
Alabama,2016,September,1248,0.048422768,AL
Alabama,2017,April,1144,0.044729434,AL
Alabama,2017,August,3133,0.121354146,AL
Alabama,2017,December,1824,0.071669941,AL
Alabama,2017,February,1816,0.071045734,AL
Alabama,2017,January,1612,0.063082101,AL
Alabama,2017,July,2253,0.087655138,AL
Alabama,2017,June,1757,0.068079665,AL
Alabama,2017,March,1453,0.056274206,AL
Alabama,2017,May,1127,0.043947902,AL
Alabama,2017,November,2191,0.085924938,AL
Alabama,2017,October,2750,0.107358969,AL
Alabama,2017,September,2976,0.115752625,AL
Alabama,2018,April,2000,0.07817997,AL
Alabama,2018,August,1761,0.067942436,AL
Alabama,2018,December,1654,0.064599281,AL
Alabama,2018,February,2293,0.089798316,AL
Alabama,2018,January,1565,0.060845224,AL
Alabama,2018,July,1828,0.071109036,AL
Alabama,2018,June,2110,0.081817829,AL
Alabama,2018,March,1999,0.077673298,AL
Alabama,2018,May,1603,0.062368687,AL
Alabama,2018,November,2132,0.0831643,AL
Alabama,2018,October,2044,0.079669473,AL
Alabama,2018,September,2276,0.088712192,AL
Alabama,2019,April,1988,0.07714696,AL
Alabama,2019,August,2011,0.077262948,AL
Alabama,2019,December,1862,0.072246149,AL
Alabama,2019,February,2245,0.086998644,AL
Alabama,2019,January,2221,0.085958666,AL
Alabama,2019,July,1950,0.075496535,AL
Alabama,2019,June,1748,0.06770208,AL
Alabama,2019,March,1839,0.071287359,AL
Alabama,2019,May,1640,0.063610271,AL
Alabama,2019,November,1832,0.07139795,AL
Alabama,2019,October,1686,0.065008676,AL
Alabama,2019,September,2084,0.08103274,AL
Alabama,2020,April,0,0.0,AL
Alabama,2020,August,1627,0.062168049,AL
Alabama,2020,December,1722,0.066144273,AL
Alabama,2020,February,1846,0.07153098,AL
Alabama,2020,January,1763,0.06790171,AL
Alabama,2020,July,1284,0.049155852,AL
Alabama,2020,June,1260,0.048181714,AL
Alabama,2020,March,505,0.019533516,AL
Alabama,2020,May,1525,0.058719341,AL
Alabama,2020,November,1579,0.06028098,AL
Alabama,2020,October,1562,0.059502495,AL
Alabama,2020,September,1661,0.063445378,AL
Alabama,2021,April,1295,0.049320181,AL
Alabama,2021,August,1629,0.061423023,AL
Alabama,2021,December,1243,0.047212094,AL
Alabama,2021,February,1242,0.047419059,AL
Alabama,2021,January,1489,0.056631042,AL
Alabama,2021,July,1303,0.049434707,AL
Alabama,2021,June,1299,0.049197091,AL
Alabama,2021,March,1260,0.047696559,AL
Alabama,2021,May,1216,0.046191833,AL
Alabama,2021,November,1766,0.066853422,AL
Alabama,2021,October,1554,0.058966381,AL
Alabama,2021,September,1543,0.058316641,AL
Alabama,2022,February,1543,0.058848207,AL
Alabama,2022,January,1071,0.040605096,AL
Alabama,2022,March,1372,0.051580886,AL
Arizona,2020,April,0,0.0,AZ
Arizona,2020,August,0,0.0,AZ
Arizona,2020,December,0,0.0,AZ
Arizona,2020,February,0,0.0,AZ
Arizona,2020,January,614,0.00013345575,AZ
Arizona,2020,July,0,0.0,AZ
Arizona,2020,June,0,0.0,AZ
Arizona,2020,March,0,0.0,AZ
Arizona,2020,May,0,0.0,AZ
Arizona,2020,November,0,0.0,AZ
Arizona,2020,October,0,0.0,AZ
Arizona,2020,September,0,0.0,AZ
Arizona,2021,April,7366,0.003994319,AZ
Arizona,2021,August,0,0.0,AZ
Arizona,2021,December,6845,0.003731983,AZ
Arizona,2021,February,6287,0.0032639319999999998,AZ
Arizona,2021,January,2,0.00021691975,AZ
Arizona,2021,July,0,0.0,AZ
Arizona,2021,June,0,0.0,AZ
Arizona,2021,March,3934,0.001949417,AZ
Arizona,2021,May,3029,0.0012629105,AZ
Arizona,2021,November,634,0.0020635595,AZ
Arizona,2021,October,12,0.0022562249999999997,AZ
Arizona,2021,September,0,0.0,AZ
Arizona,2022,April,2316,,AZ
Arizona,2022,August,0,,AZ
Arizona,2022,February,3495,,AZ
Arizona,2022,January,4863,,AZ
Arizona,2022,July,0,,AZ
Arizona,2022,June,0,,AZ
Arizona,2022,March,5727,,AZ
Arizona,2022,May,0,,AZ
Arizona,2022,October,0,,AZ
Arizona,2022,September,0,,AZ
California,2010,April,71597,0.00368611525,CA
California,2010,August,62427,0.0025935328000000002,CA
California,2010,December,45636,0.005290309,CA
California,2010,February,59341,0.00306888925,CA
California,2010,January,36380,0.00176643775,CA
California,2010,July,55772,0.0023130678,CA
California,2010,June,70296,0.0028821641999999996,CA
California,2010,March,72821,0.00374689325,CA
California,2010,May,70241,0.003625693,CA
California,2010,November,52058,0.005662045750000001,CA
California,2010,October,60531,0.00249741,CA
California,2010,September,57897,0.0023980912,CA
California,2011,April,36623,0.0022420467499999997,CA
California,2011,August,41829,0.0025565007500000002,CA
California,2011,December,21501,0.0012546975,CA
California,2011,February,36173,0.0021910882499999998,CA
California,2011,January,38310,0.0023140705,CA
California,2011,July,33139,0.0019923364999999997,CA
California,2011,June,38975,0.00236516875,CA
California,2011,March,34698,0.00223144625,CA
California,2011,May,39014,0.00235753225,CA
California,2011,November,32956,0.00197360025,CA
California,2011,October,42230,0.0024958230000000003,CA
California,2011,September,39487,0.0023593349999999997,CA
California,2012,April,42335,0.0024920475,CA
California,2012,August,34766,0.00206711925,CA
California,2012,December,24562,0.0014303340000000001,CA
California,2012,February,46934,0.0027541214999999997,CA
California,2012,January,39713,0.002379883,CA
California,2012,July,35894,0.0021026715,CA
California,2012,June,36839,0.002181245,CA
California,2012,March,45276,0.00267583025,CA
California,2012,May,45576,0.0026673160000000003,CA
California,2012,November,34919,0.002048729,CA
California,2012,October,37259,0.0021589765,CA
California,2012,September,31640,0.0018725055000000002,CA
California,2013,April,48896,0.00295211275,CA
California,2013,August,49464,0.0029960055,CA
California,2013,December,30491,0.0018516137499999998,CA
California,2013,February,46031,0.0025665035,CA
California,2013,January,43432,0.00243718825,CA
California,2013,July,49082,0.00293420775,CA
California,2013,June,45118,0.00276746475,CA
