State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
California,Pacific Gas and Electric Company,2018,August,26016.0,5529010.0,0.0047053631662811206
California,Pacific Gas and Electric Company,2018,September,21800.0,5528160.0,0.00394344592052329
California,Pacific Gas and Electric Company,2018,October,20687.0,5532438.0,0.0037392194905754
California,Pacific Gas and Electric Company,2018,November,10285.0,5526639.0,0.00186098639697654
California,Pacific Gas and Electric Company,2018,December,18840.0,5518884.0,0.0034137336461501997
California,Pacific Gas and Electric Company,2019,January,0.0,5446798.0,0.0
California,Pacific Gas and Electric Company,2019,February,14221.0,5448583.0,0.00261003640763112
California,Pacific Gas and Electric Company,2019,March,23381.0,5449450.0,0.00429052473185367
California,Pacific Gas and Electric Company,2019,April,21400.0,5457803.0,0.00392099165176904
California,Pacific Gas and Electric Company,2019,May,30563.0,5464521.0,0.00559298793068963
California,Pacific Gas and Electric Company,2019,June,19852.0,5464048.0,0.00363320380787284
California,Pacific Gas and Electric Company,2019,July,18290.0,5467488.0,0.00334522910704148
California,Pacific Gas and Electric Company,2019,August,18711.0,5473455.0,0.0034184989188729997
California,Pacific Gas and Electric Company,2019,September,23997.0,5469623.0,0.00438732249005096
California,Pacific Gas and Electric Company,2019,October,15632.0,5469697.0,0.00285792796200594
California,Pacific Gas and Electric Company,2019,November,8573.0,5474574.0,0.0015659665939304099
California,Pacific Gas and Electric Company,2019,December,19157.0,5476829.0,0.0034978269359879598
California,Pacific Gas and Electric Company,2020,January,23006.0,5486580.0,0.00419314035337132
California,Pacific Gas and Electric Company,2020,February,20693.0,5492230.0,0.0037676863496248296
California,Pacific Gas and Electric Company,2020,March,6955.0,5498078.0,0.00126498751018083
California,Pacific Gas and Electric Company,2020,April,0.0,5497361.0,0.0
California,Pacific Gas and Electric Company,2020,May,0.0,5499656.0,0.0
California,Pacific Gas and Electric Company,2020,June,0.0,5501342.0,0.0
California,Pacific Gas and Electric Company,2020,July,0.0,5501259.0,0.0
California,Pacific Gas and Electric Company,2020,August,0.0,5495989.0,0.0
California,Pacific Gas and Electric Company,2020,September,0.0,5489278.0,0.0
California,Pacific Gas and Electric Company,2020,October,0.0,5493082.0,0.0
California,Pacific Gas and Electric Company,2020,November,0.0,5494096.0,0.0
California,Pacific Gas and Electric Company,2020,December,0.0,5499130.0,0.0
California,Pacific Gas and Electric Company,2021,January,0.0,5507488.0,0.0
California,Pacific Gas and Electric Company,2021,February,0.0,5512643.0,0.0
California,Pacific Gas and Electric Company,2021,March,0.0,5518595.0,0.0
California,Pacific Gas and Electric Company,2021,April,0.0,5524282.0,0.0
California,Pacific Gas and Electric Company,2021,May,0.0,5530161.0,0.0
California,Pacific Gas and Electric Company,2021,June,0.0,5527937.0,0.0
California,Pacific Gas and Electric Company,2021,July,0.0,5532588.0,0.0
California,Pacific Gas and Electric Company,2021,August,0.0,5533180.0,0.0
California,Pacific Gas and Electric Company,2021,September,0.0,5533500.0,0.0
California,Pacific Gas and Electric Company,2021,October,0.0,5534654.0,0.0
California,Pacific Gas and Electric Company,2021,November,0.0,5535966.0,0.0
California,Pacific Gas and Electric Company,2021,December,0.0,5537783.0,0.0
California,Pacific Gas and Electric Company,2022,January,0.0,5542988.0,0.0
California,Pacific Gas and Electric Company,2022,February,0.0,5544955.0,0.0
California,Pacific Gas and Electric Company,2022,March,0.0,5547795.0,0.0
California,Pacific Gas and Electric Company,2022,April,0.0,5550448.0,0.0
California,Pacific Gas and Electric Company,2022,May,0.0,5554327.0,0.0
California,San Diego Gas & Electric,2018,October,4311.0,1416375.0,0.0030436854646544898
California,San Diego Gas & Electric,2018,November,4343.0,1417069.0,0.00306477666225145
California,San Diego Gas & Electric,2018,December,4384.0,1419675.0,0.00308803071125434
California,San Diego Gas & Electric,2019,January,3682.0,1422432.0,0.00258852444264471
California,San Diego Gas & Electric,2019,February,3711.0,1424646.0,0.00260485762778964
California,San Diego Gas & Electric,2019,March,3693.0,1427073.0,0.00258781435848061
California,San Diego Gas & Electric,2019,April,4085.0,1429319.0,0.00285800440629419
California,San Diego Gas & Electric,2019,May,4081.0,1431911.0,0.00285003746741243
California,San Diego Gas & Electric,2019,June,4074.0,1434419.0,0.00284017431447854
California,San Diego Gas & Electric,2019,July,3730.0,1437382.0,0.00259499562398861
California,San Diego Gas & Electric,2019,August,3727.0,1441344.0,0.0025857810487989004
California,San Diego Gas & Electric,2019,September,3724.0,1444591.0,0.00257789228923619
California,San Diego Gas & Electric,2019,October,3180.0,1448590.0,0.0021952381281107798
California,San Diego Gas & Electric,2019,November,4107.0,1451197.0,0.0028300775153201102
California,San Diego Gas & Electric,2019,December,4232.0,1455514.0,0.00290756392587086
California,San Diego Gas & Electric,2020,January,3766.0,1458645.0,0.00258184822215138
California,San Diego Gas & Electric,2020,February,3704.0,1461394.0,0.00253456631134383
California,San Diego Gas & Electric,2020,March,1676.0,1463826.0,0.00114494482267701
California,San Diego Gas & Electric,2020,April,0.0,1466317.0,0.0
California,San Diego Gas & Electric,2020,May,0.0,1468599.0,0.0
California,San Diego Gas & Electric,2020,June,0.0,1470927.0,0.0
California,San Diego Gas & Electric,2020,July,0.0,1473495.0,0.0
California,San Diego Gas & Electric,2020,August,0.0,1475861.0,0.0
California,San Diego Gas & Electric,2020,September,0.0,1478561.0,0.0
California,San Diego Gas & Electric,2020,October,0.0,1481164.0,0.0
California,San Diego Gas & Electric,2020,November,0.0,1483278.0,0.0
California,San Diego Gas & Electric,2020,December,0.0,1487038.0,0.0
California,San Diego Gas & Electric,2021,January,0.0,1326214.0,0.0
California,San Diego Gas & Electric,2021,February,0.0,1326463.0,0.0
California,San Diego Gas & Electric,2021,March,0.0,1328500.0,0.0
