state,utility_clean_names,service_type,utility_type,year,month,number_of_customers_total,number_of_disconnections,number_of_reconnections,disconnection_rate,reconnection_rate,State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
Alabama,City of Dothan,Electric,Muni,2013,February,24970,1318,659,0.0527833400080096,0.0263916700040048,Alabama,City of Dothan,2013,February,1318,24970,0.0527833400080096
Alabama,City of Dothan,Electric,Muni,2013,March,25132,998,510,0.0397103294604488,0.0202928537322935,Alabama,City of Dothan,2013,March,998,25132,0.0397103294604488
Alabama,City of Dothan,Electric,Muni,2013,April,25147,1172,622,0.0466059569729988,0.0247345607825983,Alabama,City of Dothan,2013,April,1172,25147,0.0466059569729988
Alabama,City of Dothan,Electric,Muni,2013,May,25317,1068,567,0.0421850930205001,0.0223960184856026,Alabama,City of Dothan,2013,May,1068,25317,0.0421850930205001
Alabama,City of Dothan,Electric,Muni,2013,June,25180,973,470,0.0386417791898332,0.0186656076250993,Alabama,City of Dothan,2013,June,973,25180,0.0386417791898332
Alabama,City of Dothan,Electric,Muni,2013,July,25354,1248,586,0.0492230022876075,0.0231127238305593,Alabama,City of Dothan,2013,July,1248,25354,0.0492230022876075
Alabama,City of Dothan,Electric,Muni,2013,August,25433,1285,668,0.0505249085833366,0.0262650886643337,Alabama,City of Dothan,2013,August,1285,25433,0.0505249085833366
Alabama,City of Dothan,Electric,Muni,2013,September,25384,1502,724,0.0591711314213678,0.0285219035612985,Alabama,City of Dothan,2013,September,1502,25384,0.0591711314213678
Alabama,City of Dothan,Electric,Muni,2013,October,25289,1454,763,0.0574953537110997,0.030171220688837,Alabama,City of Dothan,2013,October,1454,25289,0.0574953537110997
Alabama,City of Dothan,Electric,Muni,2013,November,25273,1131,644,0.0447513156332845,0.0254817394056899,Alabama,City of Dothan,2013,November,1131,25273,0.0447513156332845
Alabama,City of Dothan,Electric,Muni,2013,December,25375,931,481,0.0366896551724138,0.0189556650246305,Alabama,City of Dothan,2013,December,931,25375,0.0366896551724138
Alabama,City of Dothan,Electric,Muni,2014,January,25333,254,172,0.0100264477164173,0.00678956302056606,Alabama,City of Dothan,2014,January,254,25333,0.0100264477164173
Alabama,City of Dothan,Electric,Muni,2014,February,25249,1772,999,0.0701809972672185,0.039565923402907,Alabama,City of Dothan,2014,February,1772,25249,0.0701809972672185
Alabama,City of Dothan,Electric,Muni,2014,March,25793,1240,679,0.0480750591245687,0.0263249718915985,Alabama,City of Dothan,2014,March,1240,25793,0.0480750591245687
Alabama,City of Dothan,Electric,Muni,2014,April,25538,1438,704,0.0563082465345759,0.0275667632547576,Alabama,City of Dothan,2014,April,1438,25538,0.0563082465345759
Alabama,City of Dothan,Electric,Muni,2014,May,25219,998,500,0.0395733375629486,0.0198263214243229,Alabama,City of Dothan,2014,May,998,25219,0.0395733375629486
Alabama,City of Dothan,Electric,Muni,2014,June,25446,1040,476,0.0408708637899866,0.018706279965417,Alabama,City of Dothan,2014,June,1040,25446,0.0408708637899866
Alabama,City of Dothan,Electric,Muni,2014,July,25570,885,494,0.0346108721157607,0.0193195150567071,Alabama,City of Dothan,2014,July,885,25570,0.0346108721157607
Alabama,City of Dothan,Electric,Muni,2014,August,25415,1462,760,0.0575250836120401,0.0299036002360811,Alabama,City of Dothan,2014,August,1462,25415,0.0575250836120401
Alabama,City of Dothan,Electric,Muni,2014,September,25348,1427,800,0.0562963547419915,0.0315606753984535,Alabama,City of Dothan,2014,September,1427,25348,0.0562963547419915
Alabama,City of Dothan,Electric,Muni,2014,October,25243,1326,768,0.0525294140949966,0.0304242760369211,Alabama,City of Dothan,2014,October,1326,25243,0.0525294140949966
Alabama,City of Dothan,Electric,Muni,2014,November,24831,858,447,0.0345535822157787,0.0180016914340945,Alabama,City of Dothan,2014,November,858,24831,0.0345535822157787
