state,utility_clean_names,service_type,utility_type,year,month,number_of_customers_total,number_of_disconnections,number_of_reconnections,disconnection_rate,reconnection_rate,State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
Florida,Florida Public Utilities,Electric,IOU,2021,July,25347,56,0,0.00220933443800055,0,Florida,Florida Public Utilities,2021,July,56,25347,0.00220933443800055
Florida,Florida Public Utilities,Electric,IOU,2021,August,25347,89,0,0.00351126366039374,0,Florida,Florida Public Utilities,2021,August,89,25347,0.00351126366039374
Florida,Florida Public Utilities,Electric,IOU,2021,September,25347,128,0,0.00504990728685841,0,Florida,Florida Public Utilities,2021,September,128,25347,0.00504990728685841
Florida,Florida Public Utilities,Electric,IOU,2021,October,25347,0,0,0,0,Florida,Florida Public Utilities,2021,October,0,25347,0
Florida,Florida Public Utilities,Electric,IOU,2021,November,25347,0,0,0,0,Florida,Florida Public Utilities,2021,November,0,25347,0
Florida,Florida Public Utilities,Electric,IOU,2021,December,25347,0,0,0,0,Florida,Florida Public Utilities,2021,December,0,25347,0
Florida,Florida Public Utilities,Electric,IOU,2022,January,,0,0,,,Florida,Florida Public Utilities,2022,January,0,,
Florida,Florida Public Utilities,Electric,IOU,2022,February,,0,0,,,Florida,Florida Public Utilities,2022,February,0,,
Florida,Florida Public Utilities,Electric,IOU,2022,March,,0,0,,,Florida,Florida Public Utilities,2022,March,0,,
Florida,Florida Public Utilities,Electric,IOU,2022,April,,0,0,,,Florida,Florida Public Utilities,2022,April,0,,
Florida,Florida Public Utilities,Electric,IOU,2022,May,,0,0,,,Florida,Florida Public Utilities,2022,May,0,,
Florida,Florida Public Utilities,Electric,IOU,2022,June,,0,0,,,Florida,Florida Public Utilities,2022,June,0,,
Florida,Florida Public Utilities,Electric,IOU,2022,July,,0,0,,,Florida,Florida Public Utilities,2022,July,0,,
Florida,Florida Public Utilities,Electric,IOU,2022,August,,0,0,,,Florida,Florida Public Utilities,2022,August,0,,
Florida,Florida Public Utilities,Electric,IOU,2022,September,,0,0,,,Florida,Florida Public Utilities,2022,September,0,,
Florida,Florida Public Utilities,Electric,IOU,2022,October,,0,0,,,Florida,Florida Public Utilities,2022,October,0,,
Florida,Gulf Power,Electric,IOU,2020,January,412526,1534,0,0.00371855349723411,0,Florida,Gulf Power,2020,January,1534,412526,0.00371855349723411
Florida,Gulf Power,Electric,IOU,2020,February,412526,0,0,0,0,Florida,Gulf Power,2020,February,0,412526,0
Florida,Gulf Power,Electric,IOU,2020,March,412526,0,0,0,0,Florida,Gulf Power,2020,March,0,412526,0
Florida,Gulf Power,Electric,IOU,2020,April,412526,0,0,0,0,Florida,Gulf Power,2020,April,0,412526,0
Florida,Gulf Power,Electric,IOU,2020,May,412526,0,0,0,0,Florida,Gulf Power,2020,May,0,412526,0
Florida,Gulf Power,Electric,IOU,2020,June,412526,0,0,0,0,Florida,Gulf Power,2020,June,0,412526,0
Florida,Gulf Power,Electric,IOU,2020,July,412526,0,0,0,0,Florida,Gulf Power,2020,July,0,412526,0
Florida,Gulf Power,Electric,IOU,2020,August,412526,0,0,0,0,Florida,Gulf Power,2020,August,0,412526,0
Florida,Gulf Power,Electric,IOU,2020,September,412526,0,0,0,0,Florida,Gulf Power,2020,September,0,412526,0
Florida,Gulf Power,Electric,IOU,2020,October,412526,0,0,0,0,Florida,Gulf Power,2020,October,0,412526,0
Florida,Gulf Power,Electric,IOU,2020,November,412526,148,0,0.000358765265704465,0,Florida,Gulf Power,2020,November,148,412526,0.000358765265704465
Florida,Gulf Power,Electric,IOU,2020,December,412526,2626,0,0.00636565937662111,0,Florida,Gulf Power,2020,December,2626,412526,0.00636565937662111
Florida,Gulf Power,Electric,IOU,2021,January,418852,4860,0,0.0116031438312339,0,Florida,Gulf Power,2021,January,4860,418852,0.0116031438312339
Florida,Gulf Power,Electric,IOU,2021,February,418852,2152,0,0.00513785298864515,0,Florida,Gulf Power,2021,February,2152,418852,0.00513785298864515
Florida,Gulf Power,Electric,IOU,2021,March,418852,4745,0,0.0113285838434578,0,Florida,Gulf Power,2021,March,4745,418852,0.0113285838434578
Florida,Gulf Power,Electric,IOU,2021,April,418852,5274,0,0.0125915597872279,0,Florida,Gulf Power,2021,April,5274,418852,0.0125915597872279
Florida,Gulf Power,Electric,IOU,2021,May,418852,6320,0,0.0150888619369133,0,Florida,Gulf Power,2021,May,6320,418852,0.0150888619369133
Florida,Gulf Power,Electric,IOU,2021,June,418852,3996,0,0.00954036270568124,0,Florida,Gulf Power,2021,June,3996,418852,0.00954036270568124
Florida,Gulf Power,Electric,IOU,2021,July,418852,5340,0,0.0127491333454299,0,Florida,Gulf Power,2021,July,5340,418852,0.0127491333454299
Florida,Gulf Power,Electric,IOU,2021,August,418852,5485,0,0.0130953176778432,0,Florida,Gulf Power,2021,August,5485,418852,0.0130953176778432
Florida,Gulf Power,Electric,IOU,2021,September,418852,5998,0,0.0143200939711402,0,Florida,Gulf Power,2021,September,5998,418852,0.0143200939711402
Florida,Gulf Power,Electric,IOU,2021,October,418852,0,0,0,0,Florida,Gulf Power,2021,October,0,418852,0
Florida,Gulf Power,Electric,IOU,2021,November,418852,0,0,0,0,Florida,Gulf Power,2021,November,0,418852,0
Florida,Gulf Power,Electric,IOU,2021,December,418852,0,0,0,0,Florida,Gulf Power,2021,December,0,418852,0
Florida,Gulf Power,Electric,IOU,2022,January,,0,0,,,Florida,Gulf Power,2022,January,0,,
Florida,Gulf Power,Electric,IOU,2022,February,,0,0,,,Florida,Gulf Power,2022,February,0,,
Florida,Gulf Power,Electric,IOU,2022,March,,0,0,,,Florida,Gulf Power,2022,March,0,,
Florida,Gulf Power,Electric,IOU,2022,April,,0,0,,,Florida,Gulf Power,2022,April,0,,
Florida,Gulf Power,Electric,IOU,2022,May,,0,0,,,Florida,Gulf Power,2022,May,0,,
Florida,Gulf Power,Electric,IOU,2022,June,,0,0,,,Florida,Gulf Power,2022,June,0,,
Florida,Gulf Power,Electric,IOU,2022,July,,0,0,,,Florida,Gulf Power,2022,July,0,,
Florida,Gulf Power,Electric,IOU,2022,August,,0,0,,,Florida,Gulf Power,2022,August,0,,
Florida,Gulf Power,Electric,IOU,2022,September,,0,0,,,Florida,Gulf Power,2022,September,0,,
Florida,Gulf Power,Electric,IOU,2022,October,,0,0,,,Florida,Gulf Power,2022,October,0,,
Florida,JEA,Electric,Muni,2010,January,367502,4945,0,0.0134557090845764,0,Florida,JEA,2010,January,4945,367502,0.0134557090845764
Florida,JEA,Electric,Muni,2010,February,369437,5862,0,0.0158673874029943,0,Florida,JEA,2010,February,5862,369437,0.0158673874029943
Florida,JEA,Electric,Muni,2010,March,369928,8303,0,0.0224449081983521,0,Florida,JEA,2010,March,8303,369928,0.0224449081983521
Florida,JEA,Electric,Muni,2010,April,369630,8378,0,0.0226659091523956,0,Florida,JEA,2010,April,8378,369630,0.0226659091523956
Florida,JEA,Electric,Muni,2010,May,369141,6194,0,0.0167794961816758,0,Florida,JEA,2010,May,6194,369141,0.0167794961816758
Florida,JEA,Electric,Muni,2010,June,370398,6362,0,0.0171761186615478,0,Florida,JEA,2010,June,6362,370398,0.0171761186615478
Florida,JEA,Electric,Muni,2010,July,370495,5766,0,0.0155629630629293,0,Florida,JEA,2010,July,5766,370495,0.0155629630629293
Florida,JEA,Electric,Muni,2010,August,369616,6393,0,0.0172963291632397,0,Florida,JEA,2010,August,6393,369616,0.0172963291632397
Florida,JEA,Electric,Muni,2010,September,370236,6678,0,0.0180371438757981,0,Florida,JEA,2010,September,6678,370236,0.0180371438757981
Florida,JEA,Electric,Muni,2010,October,370336,6898,0,0.018626328523287,0,Florida,JEA,2010,October,6898,370336,0.018626328523287
Florida,JEA,Electric,Muni,2010,November,370304,7025,0,0.0189708995852057,0,Florida,JEA,2010,November,7025,370304,0.0189708995852057
Florida,JEA,Electric,Muni,2010,December,369921,4272,0,0.0115484116879009,0,Florida,JEA,2010,December,4272,369921,0.0115484116879009
Florida,JEA,Electric,Muni,2011,January,369289,5229,0,0.0141596419064743,0,Florida,JEA,2011,January,5229,369289,0.0141596419064743
Florida,JEA,Electric,Muni,2011,February,370186,6199,0,0.0167456359775896,0,Florida,JEA,2011,February,6199,370186,0.0167456359775896
Florida,JEA,Electric,Muni,2011,March,370358,6767,0,0.018271510268443,0,Florida,JEA,2011,March,6767,370358,0.018271510268443
Florida,JEA,Electric,Muni,2011,April,370535,6480,0,0.0174882264833282,0,Florida,JEA,2011,April,6480,370535,0.0174882264833282
Florida,JEA,Electric,Muni,2011,May,369731,5490,0,0.0148486331954854,0,Florida,JEA,2011,May,5490,369731,0.0148486331954854
Florida,JEA,Electric,Muni,2011,June,370684,5518,0,0.0148859945398237,0,Florida,JEA,2011,June,5518,370684,0.0148859945398237
Florida,JEA,Electric,Muni,2011,July,371304,4756,0,0.012808911296404,0,Florida,JEA,2011,July,4756,371304,0.012808911296404
Florida,JEA,Electric,Muni,2011,August,371805,6307,0,0.016963193071637,0,Florida,JEA,2011,August,6307,371805,0.016963193071637
Florida,JEA,Electric,Muni,2011,September,371069,6176,0,0.0166438047910227,0,Florida,JEA,2011,September,6176,371069,0.0166438047910227
Florida,JEA,Electric,Muni,2011,October,370488,6295,0,0.0169911036254885,0,Florida,JEA,2011,October,6295,370488,0.0169911036254885
Florida,JEA,Electric,Muni,2011,November,370610,5785,0,0.0156094007177356,0,Florida,JEA,2011,November,5785,370610,0.0156094007177356
Florida,JEA,Electric,Muni,2011,December,370767,4132,0,0.0111444653920117,0,Florida,JEA,2011,December,4132,370767,0.0111444653920117
Florida,JEA,Electric,Muni,2012,January,370263,4932,0,0.0133202615438216,0,Florida,JEA,2012,January,4932,370263,0.0133202615438216
Florida,JEA,Electric,Muni,2012,February,371467,4658,0,0.0125394718777173,0,Florida,JEA,2012,February,4658,371467,0.0125394718777173
Florida,JEA,Electric,Muni,2012,March,372561,5799,0,0.0155652362968749,0,Florida,JEA,2012,March,5799,372561,0.0155652362968749
Florida,JEA,Electric,Muni,2012,April,372198,6114,0,0.0164267406058066,0,Florida,JEA,2012,April,6114,372198,0.0164267406058066
Florida,JEA,Electric,Muni,2012,May,373462,6515,0,0.0174448806036491,0,Florida,JEA,2012,May,6515,373462,0.0174448806036491
Florida,JEA,Electric,Muni,2012,June,373933,5593,0,0.0149572249574122,0,Florida,JEA,2012,June,5593,373933,0.0149572249574122
Florida,JEA,Electric,Muni,2012,July,372928,5826,0,0.0156223185172473,0,Florida,JEA,2012,July,5826,372928,0.0156223185172473
Florida,JEA,Electric,Muni,2012,August,374115,6316,0,0.0168825093888243,0,Florida,JEA,2012,August,6316,374115,0.0168825093888243
Florida,JEA,Electric,Muni,2012,September,373484,5458,0,0.014613745167129,0,Florida,JEA,2012,September,5458,373484,0.014613745167129
Florida,JEA,Electric,Muni,2012,October,374283,6733,0,0.0179890617527379,0,Florida,JEA,2012,October,6733,374283,0.0179890617527379
Florida,JEA,Electric,Muni,2012,November,373646,6149,0,0.0164567531834945,0,Florida,JEA,2012,November,6149,373646,0.0164567531834945
Florida,JEA,Electric,Muni,2012,December,373436,5954,0,0.0159438297325378,0,Florida,JEA,2012,December,5954,373436,0.0159438297325378
Florida,JEA,Electric,Muni,2013,January,373204,6788,0,0.0181884438537636,0,Florida,JEA,2013,January,6788,373204,0.0181884438537636
Florida,JEA,Electric,Muni,2013,February,374929,4490,0,0.0119756007137351,0,Florida,JEA,2013,February,4490,374929,0.0119756007137351
Florida,JEA,Electric,Muni,2013,March,376086,5641,0,0.0149992288997729,0,Florida,JEA,2013,March,5641,376086,0.0149992288997729
Florida,JEA,Electric,Muni,2013,April,376842,6939,0,0.018413552629484,0,Florida,JEA,2013,April,6939,376842,0.018413552629484
Florida,JEA,Electric,Muni,2013,May,377020,5387,0,0.0142883666648984,0,Florida,JEA,2013,May,5387,377020,0.0142883666648984
Florida,JEA,Electric,Muni,2013,June,377184,4322,0,0.011458598455926,0,Florida,JEA,2013,June,4322,377184,0.011458598455926
Florida,JEA,Electric,Muni,2013,July,378853,6152,0,0.0162384882790951,0,Florida,JEA,2013,July,6152,378853,0.0162384882790951
Florida,JEA,Electric,Muni,2013,August,378996,7128,0,0.0188075863597505,0,Florida,JEA,2013,August,7128,378996,0.0188075863597505
Florida,JEA,Electric,Muni,2013,September,378290,7182,0,0.0189854344550477,0,Florida,JEA,2013,September,7182,378290,0.0189854344550477
Florida,JEA,Electric,Muni,2013,October,379721,8655,0,0.0227930506872151,0,Florida,JEA,2013,October,8655,379721,0.0227930506872151
Florida,JEA,Electric,Muni,2013,November,380471,6660,0,0.0175046192745308,0,Florida,JEA,2013,November,6660,380471,0.0175046192745308
Florida,JEA,Electric,Muni,2013,December,379884,8255,0,0.0217303176759221,0,Florida,JEA,2013,December,8255,379884,0.0217303176759221
Florida,JEA,Electric,Muni,2014,January,380063,6967,0,0.0183311714110555,0,Florida,JEA,2014,January,6967,380063,0.0183311714110555
Florida,JEA,Electric,Muni,2014,February,381417,5387,0,0.0141236494440468,0,Florida,JEA,2014,February,5387,381417,0.0141236494440468
Florida,JEA,Electric,Muni,2014,March,382236,6680,0,0.0174761142330916,0,Florida,JEA,2014,March,6680,382236,0.0174761142330916
Florida,JEA,Electric,Muni,2014,April,383251,7388,0,0.0192771838821034,0,Florida,JEA,2014,April,7388,383251,0.0192771838821034
Florida,JEA,Electric,Muni,2014,May,384021,7311,0,0.019038021358207,0,Florida,JEA,2014,May,7311,384021,0.019038021358207
Florida,JEA,Electric,Muni,2014,June,383452,7796,0,0.0203310975037293,0,Florida,JEA,2014,June,7796,383452,0.0203310975037293
Florida,JEA,Electric,Muni,2014,July,385277,8898,0,0.0230950718573909,0,Florida,JEA,2014,July,8898,385277,0.0230950718573909
Florida,JEA,Electric,Muni,2014,August,386139,7841,0,0.0203061591810203,0,Florida,JEA,2014,August,7841,386139,0.0203061591810203
Florida,JEA,Electric,Muni,2014,September,385075,9002,0,0.0233772641693177,0,Florida,JEA,2014,September,9002,385075,0.0233772641693177
Florida,JEA,Electric,Muni,2014,October,386431,9714,0,0.0251377348090604,0,Florida,JEA,2014,October,9714,386431,0.0251377348090604
Florida,JEA,Electric,Muni,2014,November,386174,7492,0,0.0194005810852103,0,Florida,JEA,2014,November,7492,386174,0.0194005810852103
Florida,JEA,Electric,Muni,2014,December,387297,9076,0,0.023434211987183,0,Florida,JEA,2014,December,9076,387297,0.023434211987183
Florida,JEA,Electric,Muni,2015,January,386414,7555,0,0.0195515690425295,0,Florida,JEA,2015,January,7555,386414,0.0195515690425295
Florida,JEA,Electric,Muni,2015,February,387394,7424,0,0.0191639519455645,0,Florida,JEA,2015,February,7424,387394,0.0191639519455645
Florida,JEA,Electric,Muni,2015,March,388353,8377,0,0.0215705814040319,0,Florida,JEA,2015,March,8377,388353,0.0215705814040319
Florida,JEA,Electric,Muni,2015,April,390224,9148,0,0.0234429455902251,0,Florida,JEA,2015,April,9148,390224,0.0234429455902251
Florida,JEA,Electric,Muni,2015,May,391392,8101,0,0.0206979192216499,0,Florida,JEA,2015,May,8101,391392,0.0206979192216499
Florida,JEA,Electric,Muni,2015,June,392361,9978,0,0.0254306620688601,0,Florida,JEA,2015,June,9978,392361,0.0254306620688601
Florida,JEA,Electric,Muni,2015,July,392536,9969,0,0.0253963967636089,0,Florida,JEA,2015,July,9969,392536,0.0253963967636089
Florida,JEA,Electric,Muni,2015,August,392599,10841,0,0.0276134172527184,0,Florida,JEA,2015,August,10841,392599,0.0276134172527184
Florida,JEA,Electric,Muni,2015,September,393399,11152,0,0.0283478097300705,0,Florida,JEA,2015,September,11152,393399,0.0283478097300705
Florida,JEA,Electric,Muni,2015,October,393829,10415,0,0.0264454877624553,0,Florida,JEA,2015,October,10415,393829,0.0264454877624553
Florida,JEA,Electric,Muni,2015,November,393240,9981,0,0.0253814464449191,0,Florida,JEA,2015,November,9981,393240,0.0253814464449191
Florida,JEA,Electric,Muni,2015,December,394821,10839,0,0.0274529470316928,0,Florida,JEA,2015,December,10839,394821,0.0274529470316928
Florida,JEA,Electric,Muni,2016,January,394319,11849,0,0.0300492748257122,0,Florida,JEA,2016,January,11849,394319,0.0300492748257122
Florida,JEA,Electric,Muni,2016,February,396261,9918,0,0.0250289581866497,0,Florida,JEA,2016,February,9918,396261,0.0250289581866497
Florida,JEA,Electric,Muni,2016,March,396987,11307,0,0.0284820409736339,0,Florida,JEA,2016,March,11307,396987,0.0284820409736339
Florida,JEA,Electric,Muni,2016,April,397983,10569,0,0.0265564107009596,0,Florida,JEA,2016,April,10569,397983,0.0265564107009596
Florida,JEA,Electric,Muni,2016,May,397119,11487,0,0.0289258383507211,0,Florida,JEA,2016,May,11487,397119,0.0289258383507211
Florida,JEA,Electric,Muni,2016,June,399004,12810,0,0.0321049413038466,0,Florida,JEA,2016,June,12810,399004,0.0321049413038466
Florida,JEA,Electric,Muni,2016,July,399930,13617,0,0.034048458480234,0,Florida,JEA,2016,July,13617,399930,0.034048458480234
Florida,JEA,Electric,Muni,2016,August,400640,12847,0,0.0320661940894569,0,Florida,JEA,2016,August,12847,400640,0.0320661940894569
Florida,JEA,Electric,Muni,2016,September,400541,14689,0,0.0366728999028814,0,Florida,JEA,2016,September,14689,400541,0.0366728999028814
Florida,JEA,Electric,Muni,2016,October,400280,11933,0,0.0298116318576996,0,Florida,JEA,2016,October,11933,400280,0.0298116318576996
Florida,JEA,Electric,Muni,2016,November,401079,15735,0,0.0392316725632606,0,Florida,JEA,2016,November,15735,401079,0.0392316725632606
Florida,JEA,Electric,Muni,2016,December,401504,14033,0,0.0349510839244441,0,Florida,JEA,2016,December,14033,401504,0.0349510839244441
Florida,JEA,Electric,Muni,2017,January,401131,13115,11601,0.0326950547327432,0.0289207266454101,Florida,JEA,2017,January,13115,401131,0.0326950547327432
Florida,JEA,Electric,Muni,2017,February,402674,10961,9960,0.0272205307519234,0.0247346488722888,Florida,JEA,2017,February,10961,402674,0.0272205307519234
Florida,JEA,Electric,Muni,2017,March,403387,11654,10733,0.0288903707853748,0.0266072035043271,Florida,JEA,2017,March,11654,403387,0.0288903707853748
Florida,JEA,Electric,Muni,2017,April,403535,10767,9930,0.026681700472078,0.0246075309452712,Florida,JEA,2017,April,10767,403535,0.026681700472078
Florida,JEA,Electric,Muni,2017,May,405095,13385,11716,0.0330416322097286,0.0289216109801405,Florida,JEA,2017,May,13385,405095,0.0330416322097286
Florida,JEA,Electric,Muni,2017,June,405328,14154,12559,0.0349198673666759,0.0309847826945091,Florida,JEA,2017,June,14154,405328,0.0349198673666759
Florida,JEA,Electric,Muni,2017,July,405271,14535,12214,0.0358648904066662,0.030137858371312,Florida,JEA,2017,July,14535,405271,0.0358648904066662
Florida,JEA,Electric,Muni,2017,August,406659,16486,14593,0.0405401085430299,0.0358851027519371,Florida,JEA,2017,August,16486,406659,0.0405401085430299
Florida,JEA,Electric,Muni,2017,September,407283,11446,9446,0.0281033090013578,0.0231927185765181,Florida,JEA,2017,September,11446,407283,0.0281033090013578
Florida,JEA,Electric,Muni,2017,October,405963,19765,17512,0.0486867029753943,0.0431369361247207,Florida,JEA,2017,October,19765,405963,0.0486867029753943
Florida,JEA,Electric,Muni,2017,November,407536,15734,13969,0.0386076322091791,0.0342767264732441,Florida,JEA,2017,November,15734,407536,0.0386076322091791
Florida,JEA,Electric,Muni,2017,December,408379,11895,10091,0.0291273547366539,0.0247098895878583,Florida,JEA,2017,December,11895,408379,0.0291273547366539
Florida,JEA,Electric,Muni,2018,January,407797,17046,15005,0.0418002094179212,0.0367952682339497,Florida,JEA,2018,January,17046,407797,0.0418002094179212
Florida,JEA,Electric,Muni,2018,February,409479,11832,10501,0.0288952547017063,0.0256447827605323,Florida,JEA,2018,February,11832,409479,0.0288952547017063
Florida,JEA,Electric,Muni,2018,March,409999,13991,12564,0.0341244734743255,0.0306439771804321,Florida,JEA,2018,March,13991,409999,0.0341244734743255
Florida,JEA,Electric,Muni,2018,April,409618,13571,12312,0.0331308682723904,0.0300572728737507,Florida,JEA,2018,April,13571,409618,0.0331308682723904
Florida,JEA,Electric,Muni,2018,May,411533,16445,14872,0.0399603433989498,0.0361380496825285,Florida,JEA,2018,May,16445,411533,0.0399603433989498
Florida,JEA,Electric,Muni,2018,June,412734,15221,13753,0.0368784737869911,0.0333217035669463,Florida,JEA,2018,June,15221,412734,0.0368784737869911
Florida,JEA,Electric,Muni,2018,July,411635,14565,12472,0.0353832885930497,0.0302986869435301,Florida,JEA,2018,July,14565,411635,0.0353832885930497
Florida,JEA,Electric,Muni,2018,August,413494,17298,14990,0.0418337388208777,0.03625203751445,Florida,JEA,2018,August,17298,413494,0.0418337388208777
Florida,JEA,Electric,Muni,2018,September,413427,14547,12488,0.0351863811507231,0.0302060581432756,Florida,JEA,2018,September,14547,413427,0.0351863811507231
Florida,JEA,Electric,Muni,2018,October,415328,16828,14348,0.0405173742198937,0.0345461899992295,Florida,JEA,2018,October,16828,415328,0.0405173742198937
Florida,JEA,Electric,Muni,2018,November,415663,13920,12029,0.0334886675022795,0.0289393090075374,Florida,JEA,2018,November,13920,415663,0.0334886675022795
Florida,JEA,Electric,Muni,2018,December,415863,15557,13336,0.0374089543912298,0.0320682532468626,Florida,JEA,2018,December,15557,415863,0.0374089543912298
Florida,JEA,Electric,Muni,2019,January,415859,15110,13679,0.0363344306603921,0.0328933604899738,Florida,JEA,2019,January,15110,415859,0.0363344306603921
Florida,JEA,Electric,Muni,2019,February,418238,12886,11448,0.0308102085415481,0.0273719748086018,Florida,JEA,2019,February,12886,418238,0.0308102085415481
Florida,JEA,Electric,Muni,2019,March,419330,11671,10385,0.0278324946939165,0.0247656976605537,Florida,JEA,2019,March,11671,419330,0.0278324946939165
Florida,JEA,Electric,Muni,2019,April,420106,12677,11233,0.0301757175569975,0.0267384898097147,Florida,JEA,2019,April,12677,420106,0.0301757175569975
Florida,JEA,Electric,Muni,2019,May,420618,13470,12161,0.0320243070909947,0.0289122196387221,Florida,JEA,2019,May,13470,420618,0.0320243070909947
Florida,JEA,Electric,Muni,2019,June,420627,14399,12704,0.0342322295050009,0.030202530983508,Florida,JEA,2019,June,14399,420627,0.0342322295050009
Florida,JEA,Electric,Muni,2019,July,422391,14408,12323,0.0341105752726739,0.029174390552829,Florida,JEA,2019,July,14408,422391,0.0341105752726739
Florida,JEA,Electric,Muni,2019,August,422539,14328,12203,0.0339092959466463,0.0288801743744364,Florida,JEA,2019,August,14328,422539,0.0339092959466463
Florida,JEA,Electric,Muni,2019,September,421850,15496,13623,0.03673343605547,0.0322934692426218,Florida,JEA,2019,September,15496,421850,0.03673343605547
Florida,JEA,Electric,Muni,2019,October,423474,17826,15669,0.0420946740531886,0.0370010909760694,Florida,JEA,2019,October,17826,423474,0.0420946740531886
Florida,JEA,Electric,Muni,2019,November,424284,14123,12070,0.0332866664781137,0.0284479263889282,Florida,JEA,2019,November,14123,424284,0.0332866664781137
Florida,JEA,Electric,Muni,2019,December,423645,16251,14245,0.0383599475976348,0.0336248509955269,Florida,JEA,2019,December,16251,423645,0.0383599475976348
Florida,JEA,Electric,Muni,2020,January,424126,16160,14851,0.0381018848172477,0.0350155378354546,Florida,JEA,2020,January,16160,424126,0.0381018848172477
Florida,JEA,Electric,Muni,2020,February,425534,14005,12491,0.0329115887332152,0.0293537061668398,Florida,JEA,2020,February,14005,425534,0.0329115887332152
Florida,JEA,Electric,Muni,2020,March,425809,7822,5737,0.0183697385447466,0.013473176940835,Florida,JEA,2020,March,7822,425809,0.0183697385447466
Florida,JEA,Electric,Muni,2020,April,427846,858,0,0.00200539446436335,0,Florida,JEA,2020,April,858,427846,0.00200539446436335
Florida,JEA,Electric,Muni,2020,May,429458,463,0,0.00107810309739253,0,Florida,JEA,2020,May,463,429458,0.00107810309739253
Florida,JEA,Electric,Muni,2020,June,430674,659,0,0.00153015970316295,0,Florida,JEA,2020,June,659,430674,0.00153015970316295
Florida,JEA,Electric,Muni,2020,July,431147,6081,4695,0.0141042382296525,0.0108895573899389,Florida,JEA,2020,July,6081,431147,0.0141042382296525
Florida,JEA,Electric,Muni,2020,August,430825,19825,20343,0.0460163639528811,0.04721870829223,Florida,JEA,2020,August,19825,430825,0.0460163639528811
Florida,JEA,Electric,Muni,2020,September,431658,18879,17618,0.0437360132326981,0.0408147190599966,Florida,JEA,2020,September,18879,431658,0.0437360132326981
Florida,JEA,Electric,Muni,2020,October,432152,20689,18989,0.0478743590218257,0.0439405579518318,Florida,JEA,2020,October,20689,432152,0.0478743590218257
Florida,JEA,Electric,Muni,2020,November,431905,17693,15632,0.0409650270314074,0.0361931443257198,Florida,JEA,2020,November,17693,431905,0.0409650270314074
Florida,JEA,Electric,Muni,2020,December,433666,22823,21039,0.0526280593821051,0.0485142944109061,Florida,JEA,2020,December,22823,433666,0.0526280593821051
Florida,JEA,Electric,Muni,2021,January,433212,15914,14763,0.0367349011569393,0.0340780033794078,Florida,JEA,2021,January,15914,433212,0.0367349011569393
Florida,JEA,Electric,Muni,2021,February,435682,14824,13506,0.0340248162650741,0.0309996740742101,Florida,JEA,2021,February,14824,435682,0.0340248162650741
Florida,JEA,Electric,Muni,2021,March,436600,15368,14135,0.0351992670636738,0.0323751717819514,Florida,JEA,2021,March,15368,436600,0.0351992670636738
Florida,JEA,Electric,Muni,2021,April,437429,13836,12851,0.0316302759990764,0.0293784819936493,Florida,JEA,2021,April,13836,437429,0.0316302759990764
Florida,JEA,Electric,Muni,2021,May,437268,15209,13393,0.0347818729017445,0.0306288134507899,Florida,JEA,2021,May,15209,437268,0.0347818729017445
Florida,JEA,Electric,Muni,2021,June,439368,17241,16507,0.0392404544709674,0.037569873090439,Florida,JEA,2021,June,17241,439368,0.0392404544709674
Florida,JEA,Electric,Muni,2021,July,439621,15461,14082,0.0351689296007243,0.0320321367723562,Florida,JEA,2021,July,15461,439621,0.0351689296007243
Florida,JEA,Electric,Muni,2021,August,438955,19268,17398,0.0438951600961374,0.0396350423164106,Florida,JEA,2021,August,19268,438955,0.0438951600961374
Florida,JEA,Electric,Muni,2021,September,440650,20639,18749,0.0468376262339725,0.0425485078860774,Florida,JEA,2021,September,20639,440650,0.0468376262339725
Florida,JEA,Electric,Muni,2021,October,441405,14525,13043,0.0329062878762135,0.0295488270409261,Florida,JEA,2021,October,14525,441405,0.0329062878762135
Florida,JEA,Electric,Muni,2021,November,441958,13297,11431,0.0300865693120161,0.0258644486580173,Florida,JEA,2021,November,13297,441958,0.0300865693120161
Florida,JEA,Electric,Muni,2021,December,442143,14769,13431,0.0334032202251308,0.0303770499589499,Florida,JEA,2021,December,14769,442143,0.0334032202251308
Florida,JEA,Electric,Muni,2022,January,441588,16994,0,0.038483835611475,0,Florida,JEA,2022,January,16994,441588,0.038483835611475
Florida,JEA,Electric,Muni,2022,February,443332,14689,0,0.0331331823554357,0,Florida,JEA,2022,February,14689,443332,0.0331331823554357
Florida,JEA,Electric,Muni,2022,March,444510,13822,0,0.0310949135002587,0,Florida,JEA,2022,March,13822,444510,0.0310949135002587
Florida,JEA,Electric,Muni,2022,April,445594,14252,0,0.0319842726787165,0,Florida,JEA,2022,April,14252,445594,0.0319842726787165
Florida,JEA,Electric,Muni,2022,May,445250,16333,0,0.0366827624929815,0,Florida,JEA,2022,May,16333,445250,0.0366827624929815
Florida,JEA,Electric,Muni,2022,June,447513,18934,0,0.0423093854256748,0,Florida,JEA,2022,June,18934,447513,0.0423093854256748
Florida,JEA,Electric,Muni,2022,July,449084,16799,0,0.0374072556581842,0,Florida,JEA,2022,July,16799,449084,0.0374072556581842
Florida,Keys Energy,Electric,Muni,2007,January,,108,0,,,Florida,Keys Energy,2007,January,108,,
Florida,Keys Energy,Electric,Muni,2007,February,,70,0,,,Florida,Keys Energy,2007,February,70,,
