State,Utility Name,Utility Type,Service Type,Year,Month,Total Disconnections,Total Reconnections,Total Connections,Disconnection Rate
Alabama,City of Dothan,Municipal Utility,Electric,2019,July,1950,1331,25829,0.075496535
Alabama,City of Dothan,Municipal Utility,Electric,2019,August,2011,1360,26028,0.077262948
Alabama,City of Dothan,Municipal Utility,Electric,2019,September,2084,1513,25718,0.08103274
Alabama,City of Dothan,Municipal Utility,Electric,2019,October,1686,1205,25935,0.065008676
Alabama,City of Dothan,Municipal Utility,Electric,2019,November,1832,1290,25659,0.07139795
Alabama,City of Dothan,Municipal Utility,Electric,2019,December,1862,1426,25773,0.072246149
Alabama,City of Dothan,Municipal Utility,Electric,2020,January,1763,1389,25964,0.06790171
Alabama,City of Dothan,Municipal Utility,Electric,2020,February,1846,1518,25807,0.07153098
Alabama,City of Dothan,Municipal Utility,Electric,2020,March,505,530,25853,0.019533516
Alabama,City of Dothan,Municipal Utility,Electric,2020,April,0,20,25874,0
Alabama,City of Dothan,Municipal Utility,Electric,2020,May,1525,979,25971,0.058719341
Alabama,City of Dothan,Municipal Utility,Electric,2020,June,1260,1220,26151,0.048181714
Alabama,City of Dothan,Municipal Utility,Electric,2020,July,1284,1155,26121,0.049155852
Alabama,City of Dothan,Municipal Utility,Electric,2020,August,1627,1463,26171,0.062168049
Alabama,City of Dothan,Municipal Utility,Electric,2020,September,1661,1459,26180,0.063445378
Alabama,City of Dothan,Municipal Utility,Electric,2020,October,1562,1390,26251,0.059502495
Alabama,City of Dothan,Municipal Utility,Electric,2020,November,1579,1326,26194,0.06028098
Alabama,City of Dothan,Municipal Utility,Electric,2020,December,1722,1598,26034,0.066144273
Alabama,City of Dothan,Municipal Utility,Electric,2021,January,1489,1354,26293,0.056631042
Alabama,City of Dothan,Municipal Utility,Electric,2021,February,1242,1070,26192,0.047419059
Alabama,City of Dothan,Municipal Utility,Electric,2021,March,1260,1164,26417,0.047696559
Alabama,City of Dothan,Municipal Utility,Electric,2021,April,1295,1224,26257,0.049320181
Alabama,City of Dothan,Municipal Utility,Electric,2021,May,1216,1056,26325,0.046191833
Alabama,City of Dothan,Municipal Utility,Electric,2021,June,1299,1177,26404,0.049197091
Alabama,City of Dothan,Municipal Utility,Electric,2021,July,1303,1138,26358,0.049434707
Alabama,City of Dothan,Municipal Utility,Electric,2021,August,1629,1468,26521,0.061423023
Alabama,City of Dothan,Municipal Utility,Electric,2021,September,1543,1379,26459,0.058316641
Alabama,City of Dothan,Municipal Utility,Electric,2021,October,1554,1387,26354,0.058966381
Alabama,City of Dothan,Municipal Utility,Electric,2021,November,1766,1309,26416,0.066853422
Alabama,City of Dothan,Municipal Utility,Electric,2021,December,1243,1133,26328,0.047212094
Alabama,City of Dothan,Municipal Utility,Electric,2022,January,1071,885,26376,0.040605096
Alabama,City of Dothan,Municipal Utility,Electric,2022,February,1543,1315,26220,0.058848207
Alabama,City of Dothan,Municipal Utility,Electric,2022,March,1372,1096,26599,0.051580886
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,January,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,February,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,March,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,April,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,May,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,June,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,July,,,823,
Arizona,Ajo Improvement Company,Investor Owned Utility,Electric,2020,August,,,823,
