State,Month,Year,Total Disconnections,Total Connections,Disconnection Rate
Florida,June,2021,108253.0,700000.0,1.0825299999999998
Florida,March,2020,42225.0,700000.0,0.42224999999999996
Florida,March,2021,91464.0,700000.0,0.9146400000000001
Florida,May,2020,0.0,600000.0,0.0
Florida,May,2021,89887.0,700000.0,0.89887
Florida,November,2020,104562.0,700000.0,1.0456200000000002
Florida,October,2020,103268.0,700000.0,1.03268
Florida,September,2020,5315.0,700000.0,0.05315
Florida,September,2021,133460.0,700000.0,1.3345999999999996
Georgia,April,2020,0.0,100000.0,0.0
Georgia,June,2020,0.0,100000.0,0.0
Georgia,May,2020,0.0,100000.0,0.0
Illinois,April,2020,0.0,300000.0,0.0
Illinois,April,2021,17242.0,300000.0,0.17242
Illinois,August,2020,5.0,300000.0,5e-05
Illinois,August,2021,31456.0,300000.0,0.31456
Illinois,December,2020,8.0,300000.0,7.999999999999999e-05
Illinois,February,2020,0.0,300000.0,0.0
Illinois,February,2021,7.0,300000.0,7.000000000000001e-05
Illinois,January,2020,0.0,300000.0,0.0
Illinois,January,2021,13.0,300000.0,0.00013000000000000002
Illinois,July,2020,0.0,300000.0,0.0
Illinois,July,2021,27660.0,300000.0,0.2766
Illinois,June,2020,0.0,300000.0,0.0
Illinois,June,2021,27657.0,300000.0,0.27657
Illinois,March,2020,0.0,300000.0,0.0
Illinois,March,2021,2.0,300000.0,2e-05
Illinois,May,2020,0.0,300000.0,0.0
Illinois,May,2021,30185.0,300000.0,0.30185
Illinois,November,2020,11017.0,300000.0,0.11016999999999999
Illinois,October,2020,46126.0,300000.0,0.46126
Illinois,September,2020,16121.0,300000.0,0.16121000000000002
Indiana,April,2020,0.0,600000.0,0.0
Indiana,April,2021,18123.0,600000.0,0.18123
Indiana,August,2020,4178.0,600000.0,0.04178
Indiana,August,2021,17403.0,600000.0,0.17403000000000002
Indiana,December,2020,13469.0,600000.0,0.13468999999999998
Indiana,December,2021,10582.0,300000.0,0.10582
Indiana,February,2020,13716.0,600000.0,0.13716
Indiana,February,2021,7297.0,600000.0,0.07297000000000001
Indiana,January,2020,16799.0,600000.0,0.16799
Indiana,January,2021,11566.0,600000.0,0.11566
Indiana,July,2020,1193.0,600000.0,0.011930000000000001
Indiana,July,2021,16089.0,600000.0,0.16088999999999998
Indiana,June,2020,699.0,600000.0,0.00699
Indiana,June,2021,18776.0,600000.0,0.18775999999999998
Indiana,March,2020,8757.0,600000.0,0.08757
Indiana,March,2021,18848.0,600000.0,0.18847999999999998
Indiana,May,2020,282.0,600000.0,0.00282
Indiana,May,2021,18571.0,600000.0,0.18571000000000001
Indiana,November,2020,14722.0,600000.0,0.14722
Indiana,November,2021,15047.0,600000.0,0.15047
Indiana,October,2020,21293.0,600000.0,0.21293
Indiana,October,2021,14957.0,600000.0,0.14957
Indiana,September,2020,17068.0,600000.0,0.17068
Indiana,September,2021,15927.0,600000.0,0.15927000000000002
Iowa,April,2020,0.0,600000.0,0.0
