"","State","Utility Name","Year","Month","Total Connections","Total Disconnections","Disconnection Rate","cbd"
"338","DC","Washington Gas and Light",2018,"August",225,147614,0.152424566775509,NA
"339","DC","Washington Gas and Light",2018,"December",43,153696,0.0279773058505101,NA
"340","DC","Washington Gas and Light",2018,"February",22,147307,0.0149347960382059,NA
"341","DC","Washington Gas and Light",2018,"January",0,148593,0,NA
"342","DC","Washington Gas and Light",2018,"July",270,147834,0.182637282357239,NA
"343","DC","Washington Gas and Light",2018,"June",250,147536,0.169450168094567,NA
"344","DC","Washington Gas and Light",2018,"March",36,148200,0.0242914979757085,NA
"345","DC","Washington Gas and Light",2018,"May",434,148147,0.292952270380095,NA
"346","DC","Washington Gas and Light",2018,"November",76,146626,0.0518325535716721,NA
"347","DC","Washington Gas and Light",2018,"October",63,145547,0.0432849869801507,NA
"348","DC","Washington Gas and Light",2018,"September",49,147081,0.0333149761016039,NA
"349","DC","Washington Gas and Light",2019,"April",337,150832,0.223427389413387,NA
"350","DC","Washington Gas and Light",2019,"August",458,151188,0.302934095298569,NA
"351","DC","Washington Gas and Light",2019,"December",174,152392,0.114179222006405,NA
"352","DC","Washington Gas and Light",2019,"February",0,152158,0,NA
"353","DC","Washington Gas and Light",2019,"January",0,154245,0,NA
"354","DC","Washington Gas and Light",2019,"July",676,152613,0.442950469488183,NA
"355","DC","Washington Gas and Light",2019,"June",635,151812,0.418280504834927,NA
"356","DC","Washington Gas and Light",2019,"March",244,150685,0.161927199124,NA
"357","DC","Washington Gas and Light",2019,"May",630,152301,0.413654539366124,NA
"358","DC","Washington Gas and Light",2019,"November",319,152214,0.209573363816732,NA
"359","DC","Washington Gas and Light",2019,"October",17,153247,0.0110932024770469,NA
"360","DC","Washington Gas and Light",2019,"September",255,148481,0.171739145075801,NA
"361","DC","Washington Gas and Light",2020,"April",0,146400,0,NA
"362","DC","Washington Gas and Light",2020,"August",0,148113,0,NA
"363","DC","Washington Gas and Light",2020,"December",0,153118,0,NA
"364","DC","Washington Gas and Light",2020,"February",168,146633,0.114571753970798,NA
"365","DC","Washington Gas and Light",2020,"January",44,152595,0.0288344965431371,NA
"366","DC","Washington Gas and Light",2020,"July",0,148256,0,NA
"367","DC","Washington Gas and Light",2020,"June",0,147598,0,NA
"368","DC","Washington Gas and Light",2020,"March",189,146649,0.128879160444326,NA
"369","DC","Washington Gas and Light",2020,"May",0,147377,0,NA
"370","DC","Washington Gas and Light",2020,"November",6,154582,0.00388143509593614,NA
"371","DC","Washington Gas and Light",2020,"October",3,154871,0.00193709603476442,NA
"372","DC","Washington Gas and Light",2020,"September",0,146876,0,NA
"373","DC","Washington Gas and Light",2021,"April",1,150802,0.000663121178764207,NA
"374","DC","Washington Gas and Light",2021,"August",0,149659,0,NA
"375","DC","Washington Gas and Light",2021,"December",0,152888,0,NA
"376","DC","Washington Gas and Light",2021,"February",0,151259,0,NA
"377","DC","Washington Gas and Light",2021,"January",0,151860,0,NA
"378","DC","Washington Gas and Light",2021,"July",0,150221,0,NA
"379","DC","Washington Gas and Light",2021,"June",0,150192,0,NA
"380","DC","Washington Gas and Light",2021,"March",0,151079,0,NA
"381","DC","Washington Gas and Light",2021,"May",0,150423,0,NA
"382","DC","Washington Gas and Light",2021,"November",0,153483,0,NA
"383","DC","Washington Gas and Light",2021,"October",2,153385,0.00130390846562571,NA
"384","DC","Washington Gas and Light",2021,"September",0,148213,0,NA
"385","DC","Washington Gas and Light",2022,"April",0,150977,0,NA
"386","DC","Washington Gas and Light",2022,"August",1145,149246,0.767189740428554,NA
"387","DC","Washington Gas and Light",2022,"February",4,151551,0.00263937552375108,NA
"388","DC","Washington Gas and Light",2022,"January",0,152267,0,NA
"389","DC","Washington Gas and Light",2022,"July",744,150532,0.494247070390349,NA
"390","DC","Washington Gas and Light",2022,"June",47,150938,0.0311386132054221,NA
"391","DC","Washington Gas and Light",2022,"March",1,151418,0.000660423463524812,NA
"392","DC","Washington Gas and Light",2022,"May",48,151295,0.0317260980204237,NA
"393","DC","Washington Gas and Light",2022,"September",422,147217,0.286651677455729,NA
"394","IA","amana_electric_only",2013,"December",0,708,0,NA
"395","IA","amana_electric_only",2013,"November",0,708,0,NA
