,zipcode,Number of Disconnections,lat,lon
1011,90034,30,34.030578,-118.399613
1012,92880,30,33.925311,-117.607297
1013,90065,29,34.112272,-118.225496
1014,91607,29,34.165783,-118.399795
1015,92227,29,32.990121,-115.358757
1016,93274,29,36.178091,-119.370752
1017,90062,28,34.003638,-118.308806
1018,93101,28,34.418979,-119.709166
1019,93277,28,36.301334,-119.372586
1020,90022,27,34.023728,-118.156275
1021,90045,27,33.942108,-118.417488
1022,90042,26,34.114708,-118.192098
1023,90270,26,33.987729,-118.186597
1024,91732,26,34.07342,-118.015345
1025,92335,26,34.085972,-117.464597
1026,90260,25,33.88856,-118.351813
1027,90026,24,34.080017,-118.262643
1028,91767,24,34.083086,-117.737997
1029,92592,24,33.511228,-117.042396
1030,90046,23,34.10781,-118.362247
1031,90221,23,33.885624,-118.205918
1032,91739,23,34.172754,-117.521243
1033,92618,23,33.666942,-117.732094
1034,90002,22,33.949099,-118.246737
1035,91304,22,34.224196,-118.632394
1036,91709,22,33.963723,-117.738596
1037,93280,22,35.652242,-119.4464
1038,93455,22,34.831792,-120.433509
1039,90023,21,34.022502,-118.199613
1040,90027,21,34.127194,-118.295647
1041,91733,21,34.046243,-118.053748
1042,90007,20,34.028129,-118.284829
1043,90706,20,33.887821,-118.12725
1044,91306,20,34.209532,-118.577563
1045,91324,20,34.238208,-118.55029
1046,91367,20,34.177311,-118.615704
1047,91710,20,34.004468,-117.684697
1048,91766,20,34.042286,-117.756106
1049,92582,20,33.807607,-117.015163
1050,90028,19,34.099912,-118.326912
1051,90057,19,34.061735,-118.276757
1052,91331,19,34.255442,-118.421314
1053,91761,19,34.035602,-117.591528
1054,91786,19,34.105282,-117.662035
1055,91801,19,34.090728,-118.127527
1056,92543,19,33.667301,-116.963506
1057,92545,19,33.729853,-117.03406
1058,92656,19,33.576212,-117.730368
1059,93215,19,35.779507,-119.200825
1060,93308,19,35.621087,-118.789677
1061,90001,18,33.974027,-118.249509
1062,90029,18,34.089848,-118.294661
1063,91042,18,34.322618,-118.23757
1064,91321,18,34.36811,-118.489038
1065,91325,18,34.237519,-118.517712
1066,91344,18,34.294615,-118.507001
1067,91406,18,34.195685,-118.490752
1068,92703,18,33.747155,-117.907326
1069,93021,18,34.295652,-118.897875
1070,93036,18,34.238786,-119.186492
1071,93454,18,34.923013,-120.259463
1072,90745,17,33.822725,-118.264109
1073,91402,17,34.222506,-118.444689
1074,91405,17,34.199824,-118.447609
1075,91701,17,34.137564,-117.599945
1076,92404,17,34.177083,-117.254763
1077,92507,17,33.970847,-117.32512
1078,92802,17,33.808267,-117.923658
1079,92806,17,33.83796,-117.870494
1080,93552,17,34.570867,-118.023744
1081,90291,16,33.993396,-118.465193
1082,90650,16,33.906956,-118.08264
1083,91326,16,34.281486,-118.556005
1084,91381,16,34.384697,-118.647244
1085,92225,16,33.736458,-114.687973
1086,90061,15,33.92128,-118.274186
1087,91352,15,34.230854,-118.365856
1088,91403,15,34.147149,-118.463365
1089,92220,15,33.948948,-116.832362
1090,92223,15,33.948255,-116.987839
1091,92620,15,33.714796,-117.749139
1092,92688,15,33.619672,-117.612087
1093,92833,15,33.879329,-117.961752
1094,93003,15,34.283668,-119.223196
1095,93561,15,35.118772,-118.493811
1096,90068,14,34.129772,-118.330989
1097,90605,14,33.950295,-118.024352
