zipcode,Number of Disconnections,lat,lon
90044,145,33.952725,-118.291904
90003,118,33.964131,-118.272783
90250,108,33.914775,-118.348083
90011,104,34.00709,-118.258681
90731,102,33.731442,-118.278869
90043,98,33.988505,-118.336358
92336,96,34.147718,-117.464506
91402,95,34.222506,-118.444689
93550,95,34.408548,-118.123592
92335,94,34.085972,-117.464597
