State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
Georgia,April,2020,0,100000,0.00000,GA
Georgia,June,2020,0,100000,0.00000,GA
Georgia,May,2020,0,100000,0.00000,GA
Illinois,April,2020,0,300000,0.00000,IL
Illinois,April,2021,17242,300000,0.17242,IL
Illinois,August,2020,5,300000,0.00005,IL
Illinois,August,2021,31456,300000,0.31456,IL
Illinois,December,2020,8,300000,0.00008,IL
Illinois,February,2020,0,300000,0.00000,IL
Illinois,February,2021,7,300000,0.00007,IL
Illinois,January,2020,0,300000,0.00000,IL
Illinois,January,2021,13,300000,0.00013,IL
Illinois,July,2020,0,300000,0.00000,IL
Illinois,July,2021,27660,300000,0.27660,IL
Illinois,June,2020,0,300000,0.00000,IL
Illinois,June,2021,27657,300000,0.27657,IL
Illinois,March,2020,0,300000,0.00000,IL
Illinois,March,2021,2,300000,0.00002,IL
Illinois,May,2020,0,300000,0.00000,IL
Illinois,May,2021,30185,300000,0.30185,IL
Illinois,November,2020,11017,300000,0.11017,IL
Illinois,October,2020,46126,300000,0.46126,IL
Illinois,September,2020,16121,300000,0.16121,IL
Indiana,April,2020,0,600000,0.00000,IN
Indiana,April,2021,18123,600000,0.18123,IN
Indiana,August,2020,4178,600000,0.04178,IN
Indiana,August,2021,17403,600000,0.17403,IN
Indiana,December,2020,13469,600000,0.13469,IN
Indiana,December,2021,10582,300000,0.10582,IN
Indiana,February,2020,13716,600000,0.13716,IN
Indiana,February,2021,7297,600000,0.07297,IN
Indiana,January,2020,16799,600000,0.16799,IN
Indiana,January,2021,11566,600000,0.11566,IN
Indiana,July,2020,1193,600000,0.01193,IN
Indiana,July,2021,16089,600000,0.16089,IN
Indiana,June,2020,699,600000,0.00699,IN
Indiana,June,2021,18776,600000,0.18776,IN
Indiana,March,2020,8757,600000,0.08757,IN
Indiana,March,2021,18848,600000,0.18848,IN
Indiana,May,2020,282,600000,0.00282,IN
Indiana,May,2021,18571,600000,0.18571,IN
Indiana,November,2020,14722,600000,0.14722,IN
Indiana,November,2021,15047,600000,0.15047,IN
Indiana,October,2020,21293,600000,0.21293,IN
Indiana,October,2021,14957,600000,0.14957,IN
Indiana,September,2020,17068,600000,0.17068,IN
Indiana,September,2021,15927,600000,0.15927,IN
Iowa,April,2020,0,600000,0.00000,IA
Iowa,April,2021,6192,600000,0.06192,IA
Iowa,August,2020,1905,600000,0.01905,IA
Iowa,August,2021,3055,600000,0.03055,IA
Iowa,December,2020,2019,600000,0.02019,IA
Iowa,December,2021,919,600000,0.00919,IA
Iowa,February,2020,701,600000,0.00701,IA
Iowa,February,2021,480,600000,0.00480,IA
Iowa,January,2020,1128,600000,0.01128,IA
Iowa,January,2021,447,600000,0.00447,IA
Iowa,July,2020,2406,600000,0.02406,IA
Iowa,July,2021,3066,600000,0.03066,IA
Iowa,June,2020,0,600000,0.00000,IA
Iowa,June,2021,4944,600000,0.04944,IA
Iowa,March,2020,1238,600000,0.01238,IA
Iowa,March,2021,3108,600000,0.03108,IA
Iowa,May,2020,0,600000,0.00000,IA
Iowa,May,2021,4416,600000,0.04416,IA
Iowa,November,2020,2348,600000,0.02348,IA
Iowa,November,2021,719,600000,0.00719,IA
Iowa,October,2020,7342,600000,0.07342,IA
Iowa,October,2021,4259,600000,0.04259,IA
Iowa,September,2020,3515,600000,0.03515,IA
Iowa,September,2021,5997,600000,0.05997,IA
Kansas,April,2020,0,100000,0.00000,KS
Kansas,April,2021,0,100000,0.00000,KS
Kansas,August,2020,0,100000,0.00000,KS
Kansas,August,2021,250,100000,0.00250,KS
Kansas,December,2020,0,100000,0.00000,KS
Kansas,December,2021,0,100000,0.00000,KS
Kansas,February,2020,0,100000,0.00000,KS
Kansas,February,2021,0,100000,0.00000,KS
Kansas,January,2020,0,100000,0.00000,KS
Kansas,January,2021,0,100000,0.00000,KS
Kansas,July,2020,0,100000,0.00000,KS
