State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
Ohio,June,2016,51414,7060840,18.38262,OH
Ohio,June,2017,46668,7064623,9.96865,OH
Ohio,June,2018,48561,7102882,14.04207,OH
Ohio,June,2019,44389,7169124,12.83489,OH
Ohio,June,2020,135,8848216,2.36869,OH
Ohio,June,2021,50718,9168390,11.50295,OH
Ohio,March,2015,36738,8924571,7.36785,OH
Ohio,March,2016,42975,8950053,8.15907,OH
Ohio,March,2017,30461,7147951,8.18946,OH
Ohio,March,2018,30442,7143820,4.81559,OH
Ohio,March,2019,29518,7182271,6.33962,OH
Ohio,March,2020,14633,7244642,2.77801,OH
Ohio,March,2021,60109,8896894,7.90695,OH
Ohio,March,2022,41221,9233045,7.98329,OH
Ohio,May,2015,60306,8862465,13.70936,OH
Ohio,May,2016,61816,8912292,15.71013,OH
Ohio,May,2017,49425,7115329,15.53338,OH
Ohio,May,2018,50566,7117564,12.32032,OH
Ohio,May,2019,47555,7156048,14.27298,OH
Ohio,May,2020,4,7248699,0.12130,OH
Ohio,May,2021,67102,8599811,9.45838,OH
Ohio,May,2022,46758,9206216,13.09534,OH
Ohio,November,2014,15171,8862038,2.76935,OH
Ohio,November,2015,29340,8884541,5.04160,OH
Ohio,November,2016,26907,7093919,4.12841,OH
Ohio,November,2017,22126,7105245,3.66881,OH
Ohio,November,2018,20776,7147252,4.66499,OH
Ohio,November,2019,21902,7205988,4.74914,OH
Ohio,November,2020,43501,8867809,3.36926,OH
Ohio,November,2021,24811,9198032,3.00234,OH
Ohio,October,2014,59804,8822512,8.06112,OH
Ohio,October,2015,60625,8849161,10.22166,OH
Ohio,October,2016,43387,7061720,9.09578,OH
Ohio,October,2017,42221,7072200,7.53642,OH
Ohio,October,2018,42596,7113458,9.43494,OH
Ohio,October,2019,49682,7169500,9.59551,OH
Ohio,October,2020,86602,8852916,7.65878,OH
Ohio,October,2021,49559,9170798,7.64791,OH
Ohio,September,2014,67010,8801401,11.18691,OH
Ohio,September,2015,62475,8836423,11.84367,OH
Ohio,September,2016,46265,7047146,11.69177,OH
Ohio,September,2017,38236,7025915,8.68407,OH
Ohio,September,2018,37311,7092288,10.69047,OH
Ohio,September,2019,46842,7154619,11.44032,OH
Ohio,September,2020,41441,8847905,5.61470,OH
Ohio,September,2021,49102,9162689,8.42791,OH
Oregon,April,2020,0,600000,0.00000,OR
Oregon,April,2021,0,600000,0.00000,OR
Oregon,August,2020,0,600000,0.00000,OR
Oregon,August,2021,415,600000,0.00415,OR
Oregon,December,2020,0,600000,0.00000,OR
Oregon,December,2021,172,200000,0.00172,OR
Oregon,February,2020,2204,600000,0.02204,OR
Oregon,February,2021,0,600000,0.00000,OR
Oregon,January,2020,2147,600000,0.02147,OR
Oregon,January,2021,0,600000,0.00000,OR
Oregon,July,2020,0,600000,0.00000,OR
Oregon,July,2021,0,600000,0.00000,OR
Oregon,June,2020,0,600000,0.00000,OR
Oregon,June,2021,0,600000,0.00000,OR
Oregon,March,2020,1103,600000,0.01103,OR
Oregon,March,2021,0,600000,0.00000,OR
Oregon,May,2020,0,600000,0.00000,OR
Oregon,May,2021,0,600000,0.00000,OR
Oregon,November,2020,0,600000,0.00000,OR
Oregon,November,2021,574,200000,0.00574,OR
Oregon,October,2020,0,600000,0.00000,OR
Oregon,October,2021,1313,600000,0.01313,OR
Oregon,September,2020,0,600000,0.00000,OR
Oregon,September,2021,707,600000,0.00707,OR
Pennsylvania,April,2020,0,900000,0.00000,PA
Pennsylvania,April,2021,15629,1400000,0.15629,PA
Pennsylvania,August,2020,0,1300000,0.00000,PA
Pennsylvania,August,2021,44143,1400000,0.44143,PA
Pennsylvania,December,2020,257,1400000,0.00257,PA
Pennsylvania,December,2021,1053,1400000,0.01053,PA
Pennsylvania,February,2020,39,400000,0.00039,PA
Pennsylvania,February,2021,595,1400000,0.00595,PA
Pennsylvania,January,2020,20,300000,0.00020,PA
Pennsylvania,January,2021,2090,1400000,0.02090,PA
Pennsylvania,July,2020,0,1300000,0.00000,PA
Pennsylvania,July,2021,36406,1400000,0.36406,PA
Pennsylvania,June,2020,0,900000,0.00000,PA
Pennsylvania,June,2021,47809,1400000,0.47809,PA
Pennsylvania,March,2020,0,100000,0.00000,PA
Pennsylvania,March,2021,2210,800000,0.02210,PA
Pennsylvania,May,2020,0,900000,0.00000,PA
Pennsylvania,May,2021,38209,1400000,0.38209,PA
Pennsylvania,November,2020,887,1400000,0.00887,PA
Pennsylvania,November,2021,24429,1400000,0.24429,PA
Pennsylvania,October,2020,0,1400000,0.00000,PA
Pennsylvania,October,2021,33467,1400000,0.33467,PA
Pennsylvania,September,2020,0,1300000,0.00000,PA
Pennsylvania,September,2021,34370,1400000,0.34370,PA
Rhode Island,April,2020,0,200000,0.00000,RI
Rhode Island,April,2021,0,200000,0.00000,RI
Rhode Island,August,2020,0,200000,0.00000,RI
Rhode Island,August,2021,1005,200000,0.01005,RI
Rhode Island,December,2020,0,200000,0.00000,RI
Rhode Island,December,2021,105,200000,0.00105,RI
Rhode Island,February,2020,28,200000,0.00028,RI
Rhode Island,February,2021,0,200000,0.00000,RI
Rhode Island,January,2020,0,200000,0.00000,RI
Rhode Island,January,2021,0,200000,0.00000,RI
Rhode Island,July,2020,0,200000,0.00000,RI
Rhode Island,July,2021,1757,200000,0.01757,RI
Rhode Island,June,2020,0,200000,0.00000,RI
Rhode Island,June,2021,0,200000,0.00000,RI
Rhode Island,March,2020,24,200000,0.00024,RI
Rhode Island,March,2021,0,200000,0.00000,RI
Rhode Island,May,2020,0,200000,0.00000,RI
Rhode Island,May,2021,0,200000,0.00000,RI
Rhode Island,November,2020,0,200000,0.00000,RI
Rhode Island,November,2021,33,200000,0.00033,RI
Rhode Island,October,2020,0,200000,0.00000,RI
Rhode Island,October,2021,1656,200000,0.01656,RI
Rhode Island,September,2020,0,200000,0.00000,RI
Rhode Island,September,2021,2105,200000,0.02105,RI
South Carolina,April,2020,0,500000,0.00000,SC
South Carolina,April,2021,3612,500000,0.03612,SC
South Carolina,August,2020,56,500000,0.00056,SC
South Carolina,August,2021,3494,400000,0.03494,SC
South Carolina,December,2020,10784,500000,0.10784,SC
South Carolina,December,2021,3564,500000,0.03564,SC
South Carolina,February,2020,4422,400000,0.04422,SC
South Carolina,February,2021,3654,400000,0.03654,SC
South Carolina,January,2020,4248,400000,0.04248,SC
South Carolina,January,2021,3594,400000,0.03594,SC
South Carolina,July,2020,36,500000,0.00036,SC
South Carolina,July,2021,3011,400000,0.03011,SC
South Carolina,June,2020,0,500000,0.00000,SC
South Carolina,June,2021,3638,500000,0.03638,SC
South Carolina,March,2020,7844,500000,0.07844,SC
South Carolina,March,2021,7798,500000,0.07798,SC
South Carolina,May,2020,0,500000,0.00000,SC
South Carolina,May,2021,3491,500000,0.03491,SC
South Carolina,November,2020,5040,400000,0.05040,SC
South Carolina,November,2021,1360,400000,0.01360,SC
South Carolina,October,2020,4458,400000,0.04458,SC
South Carolina,October,2021,1703,400000,0.01703,SC
South Carolina,September,2020,934,500000,0.00934,SC
South Carolina,September,2021,6113,500000,0.06113,SC
South Dakota,December,2020,1017,400000,0.01017,SD
South Dakota,December,2021,190,200000,0.00190,SD
South Dakota,February,2021,3,100000,0.00003,SD
South Dakota,January,2021,21,100000,0.00021,SD
South Dakota,June,2020,0,100000,0.00000,SD
South Dakota,June,2021,818,200000,0.00818,SD
South Dakota,March,2021,166,300000,0.00166,SD
South Dakota,November,2020,1,100000,0.00001,SD
South Dakota,October,2020,75,100000,0.00075,SD
South Dakota,September,2020,1516,300000,0.01516,SD
South Dakota,September,2021,77,100000,0.00077,SD
Utah,April,2020,0,100000,0.00000,UT
Utah,April,2021,225,100000,0.00225,UT
Utah,August,2020,252,100000,0.00252,UT
Utah,August,2021,219,100000,0.00219,UT
Utah,December,2020,130,100000,0.00130,UT
Utah,December,2021,68,100000,0.00068,UT
Utah,February,2020,197,100000,0.00197,UT
Utah,February,2021,186,100000,0.00186,UT
Utah,January,2020,243,100000,0.00243,UT
Utah,January,2021,201,100000,0.00201,UT
Utah,July,2020,0,100000,0.00000,UT
Utah,July,2021,139,100000,0.00139,UT
Utah,June,2020,0,100000,0.00000,UT
Utah,June,2021,188,100000,0.00188,UT
Utah,March,2020,99,100000,0.00099,UT
Utah,March,2021,273,100000,0.00273,UT
Utah,May,2020,0,100000,0.00000,UT
Utah,May,2021,193,100000,0.00193,UT
Utah,November,2020,202,100000,0.00202,UT
Utah,November,2021,113,100000,0.00113,UT
Utah,October,2020,256,100000,0.00256,UT
Utah,October,2021,164,100000,0.00164,UT
Utah,September,2020,183,100000,0.00183,UT
Utah,September,2021,170,100000,0.00170,UT
Vermont,April,2020,0,900000,0.00000,VT
Vermont,April,2021,0,1000000,0.00000,VT
Vermont,August,2020,0,900000,0.00000,VT
Vermont,August,2021,71,1000000,0.00071,VT
Vermont,December,2020,37,900000,0.00037,VT
Vermont,December,2021,121,900000,0.00121,VT
Vermont,February,2020,237,900000,0.00237,VT
Vermont,February,2021,0,1000000,0.00000,VT
Vermont,January,2020,206,900000,0.00206,VT
Vermont,January,2021,0,1000000,0.00000,VT
Vermont,July,2020,0,900000,0.00000,VT
Vermont,July,2021,1,1000000,0.00001,VT
Vermont,June,2020,0,900000,0.00000,VT
Vermont,June,2021,2,1000000,0.00002,VT
Vermont,March,2020,141,900000,0.00141,VT
Vermont,March,2021,0,1000000,0.00000,VT
Vermont,May,2020,0,900000,0.00000,VT
Vermont,May,2021,3,1000000,0.00003,VT
Vermont,November,2020,250,900000,0.00250,VT
Vermont,November,2021,53,1100000,0.00053,VT
Vermont,October,2020,1,900000,0.00001,VT
Vermont,October,2021,500,1100000,0.00500,VT
Vermont,September,2020,1,900000,0.00001,VT
Vermont,September,2021,149,1100000,0.00149,VT
Washington,April,2020,0,500000,0.00000,WA
Washington,April,2021,0,500000,0.00000,WA
Washington,August,2020,0,500000,0.00000,WA
Washington,August,2021,0,500000,0.00000,WA
Washington,December,2020,0,500000,0.00000,WA
Washington,December,2021,63,500000,0.00063,WA
Washington,February,2020,91,300000,0.00091,WA
Washington,February,2021,0,500000,0.00000,WA
Washington,January,2020,255,300000,0.00255,WA
Washington,January,2021,0,500000,0.00000,WA
Washington,July,2020,0,500000,0.00000,WA
Washington,July,2021,0,500000,0.00000,WA
Washington,June,2020,0,500000,0.00000,WA
Washington,June,2021,0,500000,0.00000,WA
Washington,March,2020,793,400000,0.00793,WA
Washington,March,2021,0,500000,0.00000,WA
Washington,May,2020,0,500000,0.00000,WA
Washington,May,2021,0,500000,0.00000,WA
Washington,November,2020,0,500000,0.00000,WA
Washington,November,2021,98,500000,0.00098,WA
Washington,October,2020,0,500000,0.00000,WA
Washington,October,2021,3,500000,0.00003,WA
Washington,September,2020,0,500000,0.00000,WA
Washington,September,2021,0,500000,0.00000,WA
"Washington, D.C.",April,2020,0,200000,0.00000,WA
"Washington, D.C.",April,2021,1,200000,0.00001,WA
"Washington, D.C.",August,2020,0,200000,0.00000,WA
"Washington, D.C.",August,2021,0,200000,0.00000,WA
"Washington, D.C.",December,2020,0,200000,0.00000,DC
"Washington, D.C.",December,2021,0,100000,0.00000,DC
"Washington, D.C.",February,2020,2144,200000,0.02144,DC
"Washington, D.C.",February,2021,0,200000,0.00000,DC
"Washington, D.C.",January,2020,465,200000,0.00465,DC
"Washington, D.C.",January,2021,0,200000,0.00000,DC
"Washington, D.C.",July,2020,0,200000,0.00000,DC
"Washington, D.C.",July,2021,0,200000,0.00000,DC
"Washington, D.C.",June,2020,0,200000,0.00000,DC
"Washington, D.C.",June,2021,0,200000,0.00000,DC
"Washington, D.C.",March,2020,1133,200000,0.01133,DC
"Washington, D.C.",March,2021,0,200000,0.00000,DC
"Washington, D.C.",May,2020,0,200000,0.00000,DC
"Washington, D.C.",May,2021,0,200000,0.00000,DC
"Washington, D.C.",November,2020,6,200000,0.00006,DC
"Washington, D.C.",November,2021,0,200000,0.00000,DC
"Washington, D.C.",October,2020,3,200000,0.00003,DC
"Washington, D.C.",October,2021,2,200000,0.00002,DC
"Washington, D.C.",September,2020,0,200000,0.00000,DC
"Washington, D.C.",September,2021,0,200000,0.00000,DC
Wisconsin,June,2021,17795,200000,0.17795,WI
Wisconsin,September,2021,31156,200000,0.31156,WI
