,State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
46,Minnesota,February,2020,1273,5639632,0.0002,MN
47,Missouri,February,2020,2785,6137428,0.0005,MO
48,New Hampshire,February,2020,122,1359711,0.0001,NH
49,New Mexico,February,2020,0,2096829,0,NM
50,New York,February,2020,11347,19453561,0.0006,NY
51,North Carolina,February,2020,20110,10488084,0.0019,NC
52,North Dakota,February,2020,237,762062,0.0003,ND
53,Ohio,February,2020,0,11689100,0,OH
54,Oregon,February,2020,1213,4217737,0.0003,OR
55,Pennsylvania,February,2020,39,12801989,0,PA
56,Rhode Island,February,2020,8,1059361,0,RI
57,South Carolina,February,2020,3986,5148714,0.0008,SC
58,South Dakota,February,2020,0,884659,0,SD
59,Utah,February,2020,197,3205958,0.0001,UT
60,Vermont,February,2020,237,623989,0.0004,VT
61,Washington,February,2020,91,7614893,0,WA
62,Washington D.C.,February,2020,2144,705749,0.003,WA
63,Wisconsin,February,2020,0,5822434,0,WI
64,Arizona,March,2020,0,4903185,0,AZ
65,California,March,2020,4194,39512223,0.0001,CA
66,Colorado,March,2020,842,5758736,0.0001,CO
