State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
North Carolina,May,2020,0,10488084,0.0000
North Dakota,May,2020,0,762062,0.0000
Ohio,May,2020,0,11689100,0.0000
Oregon,May,2020,0,4217737,0.0000
Pennsylvania,May,2020,0,12801989,0.0000
Rhode Island,May,2020,0,1059361,0.0000
South Carolina,May,2020,0,5148714,0.0000
South Dakota,May,2020,0,884659,0.0000
Utah,May,2020,0,3205958,0.0000
Vermont,May,2020,0,623989,0.0000
Washington,May,2020,0,7614893,0.0000
Washington D.C.,May,2020,0,705749,0.0000
Wisconsin,May,2020,0,5822434,0.0000
Arizona,June,2020,0,4903185,0.0000
California,June,2020,0,39512223,0.0000
Colorado,June,2020,0,5758736,0.0000
Connecticut,June,2020,0,3565287,0.0000
Florida,June,2020,0,21477737,0.0000
Georgia,June,2020,0,10617423,0.0000
Illinois,June,2020,0,12671821,0.0000
Indiana,June,2020,137,6732219,0.0000
Iowa,June,2020,0,3155070,0.0000
Kentucky,June,2020,0,4467673,0.0000
Maine,June,2020,0,1344212,0.0000
Maryland,June,2020,0,6045680,0.0000
Massachusetts,June,2020,0,6892503,0.0000
Michigan,June,2020,2176,9986857,0.0002
Minnesota,June,2020,0,5639632,0.0000
Missouri,June,2020,0,6137428,0.0000
New Hampshire,June,2020,0,1359711,0.0000
New Mexico,June,2020,0,2096829,0.0000
New York,June,2020,0,19453561,0.0000
North Carolina,June,2020,0,10488084,0.0000
North Dakota,June,2020,0,762062,0.0000
Ohio,June,2020,0,11689100,0.0000
Oregon,June,2020,0,4217737,0.0000
Pennsylvania,June,2020,0,12801989,0.0000
Rhode Island,June,2020,0,1059361,0.0000
South Carolina,June,2020,0,5148714,0.0000
South Dakota,June,2020,0,884659,0.0000
Utah,June,2020,0,3205958,0.0000
Vermont,June,2020,0,623989,0.0000
Washington,June,2020,0,7614893,0.0000
Washington D.C.,June,2020,0,705749,0.0000
Wisconsin,June,2020,0,5822434,0.0000
Arizona,July,2020,0,4903185,0.0000
California,July,2020,0,39512223,0.0000
Colorado,July,2020,2,5758736,0.0000
Connecticut,July,2020,0,3565287,0.0000
Florida,July,2020,0,21477737,0.0000
Georgia,July,2020,13640,10617423,0.0013
Illinois,July,2020,0,12671821,0.0000
Indiana,July,2020,203,6732219,0.0000
Iowa,July,2020,2223,3155070,0.0007
Kentucky,July,2020,0,4467673,0.0000
Maine,July,2020,0,1344212,0.0000
