State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
California,September,2021,0,39512223,0.0000
Colorado,September,2021,939,5758736,0.0002
Connecticut,September,2021,0,3565287,0.0000
Florida,September,2021,132486,21477737,0.0062
Georgia,September,2021,23156,10617423,0.0022
Illinois,September,2021,0,12671821,0.0000
Indiana,September,2021,14459,6732219,0.0021
Iowa,September,2021,5317,3155070,0.0017
Kentucky,September,2021,0,4467673,0.0000
Maine,September,2021,0,1344212,0.0000
Maryland,September,2021,5515,6045680,0.0009
Massachusetts,September,2021,6322,6892503,0.0009
Michigan,September,2021,7453,9986857,0.0007
Minnesota,September,2021,2553,5639632,0.0005
Missouri,September,2021,16018,6137428,0.0026
New Hampshire,September,2021,1123,1359711,0.0008
New Mexico,September,2021,5249,2096829,0.0025
New York,September,2021,0,19453561,0.0000
North Carolina,September,2021,14200,10488084,0.0014
North Dakota,September,2021,1078,762062,0.0014
Ohio,September,2021,0,11689100,0.0000
Oregon,September,2021,111,4217737,0.0000
Pennsylvania,September,2021,25617,12801989,0.0020
Rhode Island,September,2021,1676,1059361,0.0016
South Carolina,September,2021,5884,5148714,0.0011
South Dakota,September,2021,77,884659,0.0001
Utah,September,2021,170,3205958,0.0001
Vermont,September,2021,149,623989,0.0002
Washington,September,2021,0,7614893,0.0000
Washington D.C.,September,2021,0,705749,0.0000
Wisconsin,September,2021,30881,5822434,0.0053
Arizona,October,2021,12,4903185,0.0000
California,October,2021,0,39512223,0.0000
Colorado,October,2021,973,5758736,0.0002
Connecticut,October,2021,153,3565287,0.0000
Florida,October,2021,0,21477737,0.0000
Georgia,October,2021,25301,10617423,0.0024
Illinois,October,2021,0,12671821,0.0000
Indiana,October,2021,13834,6732219,0.0021
Iowa,October,2021,3823,3155070,0.0012
Kentucky,October,2021,0,4467673,0.0000
Maine,October,2021,0,1344212,0.0000
Maryland,October,2021,6826,6045680,0.0011
Massachusetts,October,2021,4239,6892503,0.0006
Michigan,October,2021,6962,9986857,0.0007
Minnesota,October,2021,1124,5639632,0.0002
Missouri,October,2021,15116,6137428,0.0025
New Hampshire,October,2021,674,1359711,0.0005
New Mexico,October,2021,3635,2096829,0.0017
New York,October,2021,0,19453561,0.0000
North Carolina,October,2021,1148,10488084,0.0001
North Dakota,October,2021,852,762062,0.0011
Ohio,October,2021,0,11689100,0.0000
Oregon,October,2021,338,4217737,0.0001
Pennsylvania,October,2021,27395,12801989,0.0021
Rhode Island,October,2021,1280,1059361,0.0012
South Carolina,October,2021,1564,5148714,0.0003
South Dakota,October,2021,0,884659,0.0000
Utah,October,2021,164,3205958,0.0001
Vermont,October,2021,500,623989,0.0008
Washington,October,2021,3,7614893,0.0000
Washington D.C.,October,2021,2,705749,0.0000
Wisconsin,October,2021,0,5822434,0.0000
Arizona,November,2021,634,4903185,0.0001
California,November,2021,0,39512223,0.0000
Colorado,November,2021,1095,5758736,0.0002
Connecticut,November,2021,3122,3565287,0.0009
Florida,November,2021,0,21477737,0.0000
Georgia,November,2021,24973,10617423,0.0024
Illinois,November,2021,0,12671821,0.0000
Indiana,November,2021,14356,6732219,0.0021
Iowa,November,2021,636,3155070,0.0002
Kentucky,November,2021,0,4467673,0.0000
Maine,November,2021,0,1344212,0.0000
Maryland,November,2021,5159,6045680,0.0009
Massachusetts,November,2021,2371,6892503,0.0003
Michigan,November,2021,6561,9986857,0.0007
Minnesota,November,2021,771,5639632,0.0001
Missouri,November,2021,5013,6137428,0.0008
New Hampshire,November,2021,418,1359711,0.0003
New Mexico,November,2021,2786,2096829,0.0013
New York,November,2021,0,19453561,0.0000
North Carolina,November,2021,795,10488084,0.0001
North Dakota,November,2021,490,762062,0.0006
Ohio,November,2021,0,11689100,0.0000
Oregon,November,2021,0,4217737,0.0000
Pennsylvania,November,2021,20356,12801989,0.0016
Rhode Island,November,2021,26,1059361,0.0000
South Carolina,November,2021,1281,5148714,0.0002
South Dakota,November,2021,0,884659,0.0000
Utah,November,2021,113,3205958,0.0000
Vermont,November,2021,53,623989,0.0001
Washington,November,2021,98,7614893,0.0000
Washington D.C.,November,2021,0,705749,0.0000
Wisconsin,November,2021,0,5822434,0.0000
Arizona,December,2021,6845,4903185,0.0014
California,December,2021,0,39512223,0.0000
Colorado,December,2021,414,5758736,0.0001
Connecticut,December,2021,5653,3565287,0.0016
Florida,December,2021,0,21477737,0.0000
Georgia,December,2021,26561,10617423,0.0025
Illinois,December,2021,0,12671821,0.0000
Indiana,December,2021,10582,6732219,0.0016
Iowa,December,2021,798,3155070,0.0003
Kentucky,December,2021,0,4467673,0.0000
Maine,December,2021,0,1344212,0.0000
Maryland,December,2021,4115,6045680,0.0007
Massachusetts,December,2021,906,6892503,0.0001
Michigan,December,2021,6174,9986857,0.0006
Minnesota,December,2021,430,5639632,0.0001
Missouri,December,2021,5485,6137428,0.0009
New Hampshire,December,2021,0,1359711,0.0000
New Mexico,December,2021,1988,2096829,0.0009
New York,December,2021,0,19453561,0.0000
North Carolina,December,2021,2507,10488084,0.0002
North Dakota,December,2021,211,762062,0.0003
Ohio,December,2021,0,11689100,0.0000
Oregon,December,2021,0,4217737,0.0000
Pennsylvania,December,2021,1053,12801989,0.0001
Rhode Island,December,2021,82,1059361,0.0001
South Carolina,December,2021,3437,5148714,0.0007
South Dakota,December,2021,190,884659,0.0002
Utah,December,2021,68,3205958,0.0000
Vermont,December,2021,121,623989,0.0002
Washington,December,2021,63,7614893,0.0000
Washington D.C.,December,2021,0,705749,0.0000
Wisconsin,December,2021,0,5822434,0.0000
