State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
Indiana,January,2020,16799,600000,0.16799
Indiana,January,2021,11566,600000,0.11566
Indiana,July,2020,1193,600000,0.01193
Indiana,July,2021,16089,600000,0.16089
Indiana,June,2020,699,600000,0.00699
Indiana,June,2021,18776,600000,0.18776
Indiana,March,2020,8757,600000,0.08757
Indiana,March,2021,18848,600000,0.18848
Indiana,May,2020,282,600000,0.00282
Indiana,May,2021,18571,600000,0.18571
Indiana,November,2020,14722,600000,0.14722
Indiana,November,2021,15047,600000,0.15047
Indiana,October,2020,21293,600000,0.21293
Indiana,October,2021,14957,600000,0.14957
Indiana,September,2020,17068,600000,0.17068
Indiana,September,2021,15927,600000,0.15927
Iowa,April,2020,0,600000,0
Iowa,April,2021,6192,600000,0.06192
Iowa,August,2020,1905,600000,0.01905
Iowa,August,2021,3055,600000,0.03055
Iowa,December,2020,2019,600000,0.02019
Iowa,December,2021,919,600000,0.00919
Iowa,February,2020,701,600000,0.00701
Iowa,February,2021,480,600000,0.0048
Iowa,January,2020,1128,600000,0.01128
Iowa,January,2021,447,600000,0.00447
Iowa,July,2020,2406,600000,0.02406
Iowa,July,2021,3066,600000,0.03066
Iowa,June,2020,0,600000,0
Iowa,June,2021,4944,600000,0.04944
Iowa,March,2020,1238,600000,0.01238
Iowa,March,2021,3108,600000,0.03108
Iowa,May,2020,0,600000,0
Iowa,May,2021,4416,600000,0.04416
Iowa,November,2020,2348,600000,0.02348
Iowa,November,2021,719,600000,0.00719
Iowa,October,2020,7342,600000,0.07342
Iowa,October,2021,4259,600000,0.04259
Iowa,September,2020,3515,600000,0.03515
Iowa,September,2021,5997,600000,0.05997
Kansas,April,2020,0,100000,0
Kansas,April,2021,0,100000,0
Kansas,August,2020,0,100000,0
Kansas,August,2021,250,100000,0.0025
Kansas,December,2020,0,100000,0
Kansas,December,2021,0,100000,0
Kansas,February,2020,0,100000,0
Kansas,February,2021,0,100000,0
Kansas,January,2020,0,100000,0
Kansas,January,2021,0,100000,0
Kansas,July,2020,0,100000,0
Kansas,July,2021,218,100000,0.00218
Kansas,June,2020,0,100000,0
Kansas,June,2021,0,100000,0
Kansas,March,2020,21,100000,0.00021
Kansas,March,2021,0,100000,0
Kansas,May,2020,0,100000,0
Kansas,May,2021,0,100000,0
Kansas,November,2020,0,100000,0
Kansas,November,2021,3,100000,0.00003
Kansas,October,2020,0,100000,0
Kansas,October,2021,127,100000,0.00127
Kansas,September,2020,0,100000,0
Kansas,September,2021,113,100000,0.00113
Kentucky,April,2020,0,700000,0
Kentucky,April,2021,1960,700000,0.0196
Kentucky,August,2020,0,700000,0
Kentucky,December,2020,1189,700000,0.01189
Kentucky,February,2020,14317,700000,0.14317
Kentucky,February,2021,975,700000,0.00975
Kentucky,January,2020,14123,700000,0.14123
Kentucky,January,2021,1821,700000,0.01821
Kentucky,July,2020,0,700000,0
Kentucky,June,2020,0,700000,0
Kentucky,June,2021,9175,700000,0.09175
Kentucky,March,2020,6650,700000,0.0665
Kentucky,March,2021,2920,700000,0.0292
Kentucky,May,2020,0,700000,0
Kentucky,May,2021,2337,700000,0.02337
Kentucky,November,2020,5,700000,0.00005
Kentucky,October,2020,0,700000,0
Kentucky,September,2020,0,700000,0
Maine,April,2020,0,600000,0
Maine,August,2020,0,600000,0
Maine,December,2020,1,600000,0.00001
Maine,February,2020,0,600000,0
Maine,January,2020,1,600000,0.00001
Maine,July,2020,0,600000,0
Maine,June,2020,0,600000,0
Maine,March,2020,0,600000,0
Maine,May,2020,0,600000,0
Maine,November,2020,0,600000,0
Maine,October,2020,0,600000,0
Maine,September,2020,0,600000,0
Maryland,April,2020,0,900000,0
Maryland,April,2021,5678,800000,0.05678
Maryland,August,2020,0,900000,0
Maryland,August,2021,6511,800000,0.06511
