State,Year,Month,Number of Disconnections,Total Connections,Disconnection Rate,code
Georgia,2020,December,0.0,,,GA
Georgia,2020,February,0.0,,,GA
Georgia,2020,January,0.0,,,GA
Georgia,2020,July,0.0,,,GA
Georgia,2020,June,0.0,,,GA
Georgia,2020,March,0.0,,,GA
Georgia,2020,May,0.0,,,GA
Georgia,2020,November,0.0,,,GA
Georgia,2020,October,0.0,,,GA
Georgia,2020,September,0.0,,,GA
Georgia,2021,April,0.0,,,GA
Georgia,2021,August,0.0,,,GA
Georgia,2021,December,0.0,,,GA
Georgia,2021,February,0.0,,,GA
Georgia,2021,January,0.0,,,GA
Georgia,2021,July,0.0,,,GA
Georgia,2021,June,0.0,,,GA
Georgia,2021,March,0.0,,,GA
Georgia,2021,May,0.0,,,GA
Georgia,2021,November,0.0,,,GA
Georgia,2021,October,0.0,,,GA
Georgia,2021,September,0.0,,,GA
Illinois,2020,April,0.0,,,IL
Illinois,2020,August,5.0,,,IL
Illinois,2020,December,8.0,,,IL
Illinois,2020,February,0.0,,,IL
Illinois,2020,January,0.0,,,IL
Illinois,2020,July,0.0,,,IL
Illinois,2020,June,0.0,,,IL
Illinois,2020,March,0.0,,,IL
Illinois,2020,May,0.0,,,IL
Illinois,2020,November,11017.0,,,IL
Illinois,2020,October,46126.0,,,IL
Illinois,2020,September,16121.0,,,IL
Illinois,2021,April,17242.0,,,IL
Illinois,2021,August,31456.0,,,IL
Illinois,2021,December,0.0,,,IL
Illinois,2021,February,7.0,,,IL
Illinois,2021,January,13.0,,,IL
Illinois,2021,July,27660.0,,,IL
Illinois,2021,June,27657.0,,,IL
Illinois,2021,March,2.0,,,IL
Illinois,2021,May,30185.0,,,IL
Illinois,2021,November,0.0,,,IL
Illinois,2021,October,0.0,,,IL
Illinois,2021,September,0.0,,,IL
Indiana,2019,April,15368.0,2724013.0,0.005641676453085944,IN
Indiana,2019,August,17959.0,2715921.0,0.006612489833098974,IN
Indiana,2019,December,10805.0,2744779.0,0.00393656465602513,IN
Indiana,2019,February,10988.0,2722160.0,0.004036500426132189,IN
Indiana,2019,January,7583.0,2721039.0,0.0027868031292458506,IN
Indiana,2019,July,12638.0,2718337.0,0.004649166015839832,IN
Indiana,2019,June,13257.0,2719769.0,0.00487431101685474,IN
Indiana,2019,March,12415.0,2724581.0,0.00455666394208871,IN
Indiana,2019,May,15384.0,2722907.0,0.005649844082078455,IN
Indiana,2019,November,13274.0,2735764.0,0.004852026709906264,IN
Indiana,2019,October,18268.0,2726552.0,0.00670003726318075,IN
Indiana,2019,September,16986.0,2721307.0,0.006241853638711104,IN
Indiana,2020,April,0.0,2748205.0,0.0,IN
Indiana,2020,August,6537.0,2762372.0,0.0023664444904596483,IN
Indiana,2020,December,26381.0,2776944.0,0.009500011523458881,IN
Indiana,2020,February,23641.0,2743551.0,0.008616934768116211,IN
Indiana,2020,January,30141.0,2741219.0,0.010995473181821664,IN
Indiana,2020,July,1193.0,2763751.0,0.0004316597262199091,IN
Indiana,2020,June,699.0,2760597.0,0.00025320609998489456,IN
Indiana,2020,March,16093.0,2747927.0,0.005856414671859915,IN
Indiana,2020,May,282.0,2756174.0,0.00010231574639336993,IN
Indiana,2020,November,28833.0,2771362.0,0.010403909702160886,IN
Indiana,2020,October,41342.0,2765061.0,0.014951568880397214,IN
Indiana,2020,September,32372.0,2765752.0,0.01170459245803673,IN
Indiana,2021,April,33829.0,2785504.0,0.012144660355899686,IN
Indiana,2021,August,32416.0,2741586.0,0.01182381293163884,IN
Indiana,2021,December,23212.0,2760333.0,0.008409130347679067,IN
Indiana,2021,February,14538.0,2781008.0,0.0052276009274335065,IN
Indiana,2021,January,21467.0,2779937.0,0.007722117443668687,IN
Indiana,2021,July,30233.0,2742807.0,0.011022649424476458,IN
Indiana,2021,June,35388.0,2774672.0,0.012753939925151513,IN
Indiana,2021,March,35566.0,2786267.0,0.012764749394081759,IN
Indiana,2021,May,34092.0,2786805.0,0.01223336401362851,IN
Indiana,2021,November,29231.0,2755313.0,0.010608958038524116,IN
Indiana,2021,October,28617.0,2748201.0,0.010412993809404771,IN
Indiana,2021,September,30280.0,2745088.0,0.01103061176909447,IN
Indiana,2022,January,2128.0,760407.0,0.0027985013288936056,IN
Iowa,2013,December,757.0,1849232.0,0.0004093591285463371,IA
Iowa,2013,November,779.0,1847300.0,0.0004216965300709143,IA
Iowa,2013,October,4178.0,1842151.0,0.0022680008316364945,IA
Iowa,2014,April,9987.0,1852215.0,0.005391922643969518,IA
Iowa,2014,August,5711.0,1845865.0,0.003093942406405669,IA
Iowa,2014,December,660.0,1861160.0,0.00035461755034494615,IA
Iowa,2014,February,599.0,1853467.0,0.0003231781304981421,IA
Iowa,2014,January,396.0,1851075.0,0.00021392974352740974,IA
Iowa,2014,July,6100.0,1845596.0,0.0033051653774715593,IA
Iowa,2014,June,4816.0,1848117.0,0.002605895622409187,IA
Iowa,2014,March,2271.0,1853402.0,0.0012253143138941255,IA
Iowa,2014,May,8544.0,1848501.0,0.0046221235476745755,IA
Iowa,2014,November,532.0,1857675.0,0.00028637947972600156,IA
Iowa,2014,October,5988.0,1851351.0,0.0032343947744106873,IA
Iowa,2014,September,6629.0,1847668.0,0.003587765767443069,IA
Iowa,2015,April,7228.0,1862065.0,0.0038817119703125295,IA
Iowa,2015,August,5072.0,1860537.0,0.002726094670517168,IA
Iowa,2015,December,622.0,1869666.0,0.0003326797406595617,IA
Iowa,2015,February,292.0,1863704.0,0.00015667724059185365,IA
Iowa,2015,January,1069.0,1862445.0,0.0005739766811905855,IA
Iowa,2015,July,4790.0,1860376.0,0.0025747483304450285,IA
Iowa,2015,June,5740.0,1860499.0,0.003085193810907719,IA
Iowa,2015,March,2608.0,1863511.0,0.0013995087767123457,IA
Iowa,2015,May,6075.0,1861082.0,0.003264230162883742,IA
Iowa,2015,November,716.0,1865727.0,0.00038376461293640495,IA
Iowa,2015,October,4237.0,1860975.0,0.0022767635244965675,IA
Iowa,2015,September,5208.0,1858815.0,0.0028017850081907022,IA
Iowa,2016,April,4311.0,1862477.0,0.0023146594561973114,IA
Iowa,2016,August,7004.0,1858450.0,0.003768732007856009,IA
Iowa,2016,December,284.0,1873222.0,0.00015161043378734607,IA
Iowa,2016,February,1197.0,1868762.0,0.0006405310039480683,IA
Iowa,2016,January,735.0,1869247.0,0.00039320646228133577,IA
Iowa,2016,July,4256.0,1854294.0,0.0022952131646869376,IA
Iowa,2016,June,4040.0,1857172.0,0.0021753504791155584,IA
Iowa,2016,March,1587.0,1871622.0,0.0008479276264117434,IA
Iowa,2016,May,4691.0,1856599.0,0.0025266630004648284,IA
Iowa,2016,November,842.0,1869063.0,0.00045049310804397714,IA
Iowa,2016,October,3679.0,1863994.0,0.0019737187995240327,IA
Iowa,2016,September,5017.0,1860881.0,0.002696034835113046,IA
Iowa,2017,April,4880.0,1876143.0,0.002601081047660013,IA
Iowa,2017,August,8734.0,1873078.0,0.004662913130152615,IA
Iowa,2017,December,477.0,1887154.0,0.00025276156582875587,IA
Iowa,2017,February,1109.0,1875717.0,0.0005912405762703009,IA
Iowa,2017,January,948.0,1874703.0,0.0005056800997277969,IA
Iowa,2017,July,6825.0,1871416.0,0.003646971063622412,IA
Iowa,2017,June,8761.0,1872844.0,0.004677912308766774,IA
Iowa,2017,March,1396.0,1876842.0,0.0007438026216378364,IA
Iowa,2017,May,9202.0,1873725.0,0.004911072862880092,IA
Iowa,2017,November,749.0,1883698.0,0.00039762212414091856,IA
Iowa,2017,October,6923.0,1876153.0,0.003689997564164543,IA
Iowa,2017,September,7203.0,1874020.0,0.0038436089262654616,IA
Iowa,2018,April,6853.0,1886693.0,0.0036322814575556277,IA
Iowa,2018,August,7603.0,1856654.0,0.0040950010071882,IA
Iowa,2018,December,669.0,1869543.0,0.0003578414617903948,IA
Iowa,2018,February,544.0,1891036.0,0.0002876730004082418,IA
Iowa,2018,January,619.0,1889472.0,0.00032760474883988756,IA
Iowa,2018,July,5218.0,1855180.0,0.002812665078321241,IA
Iowa,2018,June,7728.0,1886654.0,0.004096140574795379,IA
Iowa,2018,March,1545.0,1892112.0,0.0008165478576321063,IA
Iowa,2018,May,7577.0,1888029.0,0.004013179882300537,IA
Iowa,2018,November,936.0,1866939.0,0.0005013554272528454,IA
Iowa,2018,October,8322.0,1861417.0,0.004470787577420857,IA
Iowa,2018,September,7631.0,1856878.0,0.004109586090200864,IA
Iowa,2019,April,5866.0,1869410.0,0.003137888424690143,IA
Iowa,2019,August,8649.0,1865297.0,0.004636795105551555,IA
Iowa,2019,December,499.0,1879215.0,0.0002655364074892974,IA
Iowa,2019,February,380.0,1872048.0,0.00020298624821585772,IA
Iowa,2019,January,1026.0,1871051.0,0.000548354908551397,IA
Iowa,2019,July,7465.0,1862193.0,0.004008714456557403,IA
Iowa,2019,June,8636.0,1865701.0,0.004628823160838741,IA
Iowa,2019,March,2101.0,1872264.0,0.0011221708049719485,IA
Iowa,2019,May,8121.0,1867388.0,0.00434885519238637,IA
Iowa,2019,November,931.0,1876236.0,0.0004962062341837594,IA
Iowa,2019,October,7535.0,1869920.0,0.004029584153332763,IA
Iowa,2019,September,9810.0,1864887.0,0.005260372344276088,IA
Iowa,2020,April,0.0,1882822.0,0.0,IA
Iowa,2020,August,3583.0,1885421.0,0.0019003713229034788,IA
Iowa,2020,December,4005.0,1896543.0,0.0021117369867174117,IA
Iowa,2020,February,1332.0,1882825.0,0.0007074475854102213,IA
Iowa,2020,January,2145.0,1881473.0,0.0011400641943838685,IA
Iowa,2020,July,4629.0,1884556.0,0.002456281479563356,IA
Iowa,2020,June,0.0,1884743.0,0.0,IA
Iowa,2020,March,2354.0,1884317.0,0.0012492590153355301,IA
Iowa,2020,May,0.0,1883452.0,0.0,IA
Iowa,2020,November,4588.0,1893642.0,0.002422844444726089,IA
Iowa,2020,October,6950.0,,,IA
Iowa,2020,September,6754.0,1887264.0,0.003578725604896824,IA
Iowa,2021,April,11373.0,1899719.0,0.005986674871388874,IA
Iowa,2021,August,5858.0,1897912.0,0.0030865498505726293,IA
Iowa,2021,December,1762.0,1911195.0,0.0009219362754716291,IA
Iowa,2021,February,870.0,1899624.0,0.0004579853697363268,IA
Iowa,2021,January,845.0,1898719.0,0.00044503689066154603,IA
Iowa,2021,July,5663.0,1898365.0,0.0029830933461162633,IA
Iowa,2021,June,9151.0,1899489.0,0.004817611473401531,IA
Iowa,2021,March,5828.0,1900490.0,0.003066577566838026,IA
Iowa,2021,May,8090.0,1899666.0,0.004258643361517235,IA
Iowa,2021,November,1551.0,1907827.0,0.0008129667941590092,IA
Iowa,2021,October,8383.0,1902626.0,0.004406015685689148,IA
Iowa,2021,September,11585.0,1901096.0,0.0060938532299263165,IA
Iowa,2022,April,5068.0,1912809.0,0.0026495065633840077,IA
Iowa,2022,August,4377.0,1910540.0,0.0022909753263475247,IA
Iowa,2022,February,490.0,1913694.0,0.0002560492952373786,IA
Iowa,2022,January,371.0,1912381.0,0.00019399899915341137,IA
Iowa,2022,July,3921.0,1907716.0,0.002055337377261605,IA
